,1961.0,1961.0,1961.0,1961.0,1962.0,1962.0,1962.0,1962.0,1963.0,1963.0,1963.0,1963.0,1964.0,1964.0,1964.0,1964.0,1965.0,1965.0,1965.0,1965.0,1966.0,1966.0,1966.0,1966.0,1967.0,1967.0,1967.0,1967.0,1968.0,1968.0,1968.0,1968.0,1969.0,1969.0,1969.0,1969.0,1970.0,1970.0,1970.0,1970.0,1971.0,1971.0,1971.0,1971.0,1972.0,1972.0,1972.0,1972.0,1973.0,1973.0,1973.0,1973.0,1974.0,1974.0,1974.0,1974.0,1975.0,1975.0,1975.0,1975.0,1976.0,1976.0,1976.0,1976.0,1977.0,1977.0,1977.0,1977.0,1978.0,1978.0,1978.0,1978.0,1979.0,1979.0,1979.0,1979.0,1980.0,1980.0,1980.0,1980.0,1981.0,1981.0,1981.0,1981.0,1982.0,1982.0,1982.0,1982.0,1983.0,1983.0,1983.0,1983.0,1984.0,1984.0,1984.0,1984.0,1985.0,1985.0,1985.0,1985.0,1986.0,1986.0,1986.0,1986.0,1987.0,1987.0,1987.0,1987.0,1988.0,1988.0,1988.0,1988.0,1989.0,1989.0,1989.0,1989.0,1990.0,1990.0,1990.0,1990.0,1991.0,1991.0,1991.0,1991.0,1992.0,1992.0,1992.0,1992.0,1993.0,1993.0,1993.0,1993.0,1994.0,1994.0,1994.0,1994.0,1995.0,1995.0,1995.0,1995.0,1996.0,1996.0,1996.0,1996.0,1997.0,1997.0,1997.0,1997.0,1998.0,1998.0,1998.0,1998.0,1999.0,1999.0,1999.0,1999.0,2000.0,2000.0,2000.0,2000.0,2001.0,2001.0,2001.0,2001.0,2002.0,2002.0,2002.0,2002.0,2003.0,2003.0,2003.0,2003.0,2004.0,2004.0,2004.0,2004.0,2005.0,2005.0,2005.0,2005.0,2006.0,2006.0,2006.0,2006.0,2007.0,2007.0,2007.0,2007.0,2008.0,2008.0,2008.0,2008.0,2009.0,2009.0,2009.0,2009.0,2010.0,2010.0,2010.0,2010.0,2011.0,2011.0,2011.0,2011.0,2012.0,2012.0,2012.0,2012.0,2013.0,2013.0,2013.0,2013.0,2014.0,2014.0,2014.0,2014.0,2015.0,2015.0,2015.0,2015.0,2016.0,2016.0,2016.0,2016.0,2017.0,2017.0,2017.0,2017.0,2018.0,2018.0,2018.0,2018.0,2019.0,2019.0,2019.0,2019.0,2020.0,2020.0,2020.0,2020.0,2021.0,2021.0,2021.0,2021.0,2022.0,2022.0,2022.0,2022.0,2023.0,2023.0
,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0
ALA,33.96,33.93,33.89,33.85,33.3,31.73,30.15,28.57,27.95,29.25,30.54,31.83,32.21,30.77,29.33,27.89,27.08,27.52,27.97,28.41,28.78,28.99,29.2,29.41,29.82,30.65,31.48,32.31,33.14,33.97,34.81,35.65,36.62,37.88,39.15,40.41,41.17,40.95,40.72,40.5,39.77,38.03,36.29,34.55,33.8,35.01,36.22,37.44,38.1,37.65,37.21,36.76,36.56,36.83,37.11,37.38,37.29,36.48,35.66,34.84,34.25,34.1,33.96,33.82,33.49,32.81,32.12,31.44,31.1,31.46,31.82,32.18,33.3,35.93,38.57,41.21,42.68,41.82,40.96,40.11,39.04,37.55,36.07,34.58,33.27,32.31,31.34,30.38,30.49,32.75,35.01,37.27,38.77,38.77,38.77,38.76,38.05,35.9,33.76,31.61,31.08,33.78,36.48,39.18,41.61,43.52,45.43,47.34,47.5,44.19,40.87,37.55,35.16,34.62,34.08,33.55,33.15,33.01,32.88,32.75,32.79,33.2,33.61,34.02,33.79,32.27,30.75,29.23,28.76,30.41,32.06,33.7,34.55,33.81,33.07,32.32,32.18,33.24,34.3,35.36,36.19,36.56,36.93,37.29,38.12,39.85,41.59,43.32,44.41,44.21,44.01,43.8,43.08,41.3,39.53,37.76,37.1,38.67,40.24,41.81,42.42,41.11,39.79,38.48,38.4,40.77,43.15,45.52,46.58,44.99,43.41,41.82,40.83,41.03,41.23,41.42,41.78,42.48,43.17,43.86,44.09,43.39,42.69,41.99,43.16,48.08,53.01,57.93,58.44,50.1,41.77,33.43,28.18,29.11,30.03,30.96,32.45,35.09,37.72,40.36,41.64,40.2,38.77,37.33,36.81,38.12,39.42,40.73,41.45,41.02,40.58,40.15,40.54,42.57,44.61,46.64,46.76,43.06,39.35,35.64,33.85,35.91,37.96,40.01,40.99,39.81,38.63,37.45,35.81,33.24,30.68,28.12,26.74,27.73,28.71,29.7,30.0,28.91,27.81,26.72,26.46,27.85,29.25,30.65,32.47,35.14,37.81,40.48,42.26,42.26
No data for CAR region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEA,14.93,15.69,16.45,17.21,17.56,17.08,16.6,16.13,16.45,18.37,20.29,22.22,23.24,22.47,21.7,20.93,20.1,19.12,18.15,17.18,16.55,16.6,16.66,16.71,16.75,16.74,16.73,16.73,16.92,17.5,18.09,18.67,18.85,18.24,17.62,17.0,16.62,16.7,16.78,16.86,16.81,16.47,16.14,15.8,15.38,14.77,14.17,13.57,13.4,14.11,14.81,15.52,15.82,15.31,14.8,14.29,14.04,14.31,14.59,14.86,15.26,15.92,16.58,17.25,17.61,17.36,17.12,16.87,16.81,17.1,17.4,17.69,17.62,16.8,15.98,15.16,15.1,16.56,18.02,19.48,20.09,19.01,17.93,16.84,16.07,15.91,15.75,15.59,15.57,15.84,16.1,16.37,16.44,16.12,15.79,15.47,15.35,15.65,15.94,16.24,16.37,16.17,15.98,15.78,15.91,16.7,17.5,18.29,18.81,18.8,18.79,18.78,18.43,17.39,16.34,15.3,14.51,14.23,13.95,13.67,13.78,14.67,15.56,16.45,16.81,16.12,15.43,14.74,14.19,13.94,13.68,13.43,13.37,13.69,14.02,14.34,15.07,16.58,18.1,19.62,20.01,18.16,16.31,14.45,13.43,14.07,14.71,15.35,15.86,16.13,16.4,16.67,16.95,17.22,17.5,17.77,17.79,17.29,16.79,16.29,16.44,17.87,19.31,20.74,21.2,19.69,18.18,16.67,15.63,15.55,15.46,15.37,15.45,15.84,16.23,16.62,16.87,16.8,16.74,16.68,16.62,16.54,16.47,16.4,16.33,16.27,16.2,16.14,16.1,16.1,16.11,16.11,16.1,16.06,16.02,15.99,16.13,16.63,17.13,17.63,17.71,16.96,16.21,15.46,15.1,15.55,16.0,16.44,16.6,16.18,15.76,15.34,14.98,14.78,14.57,14.36,14.43,15.04,15.66,16.27,16.56,16.21,15.86,15.51,15.56,16.41,17.25,18.1,18.21,16.87,15.52,14.17,13.22,13.06,12.89,12.72,12.98,14.07,15.16,16.26,17.0,17.04,17.08,17.12,16.8,15.79,14.77,13.75,13.07,13.07
CWP,50.62,48.66,46.71,44.76,43.5,43.62,43.75,43.87,43.7,42.94,42.18,41.42,40.76,40.28,39.81,39.34,39.05,39.14,39.22,39.31,40.16,42.53,44.91,47.28,49.86,52.84,55.82,58.8,59.01,53.7,48.4,43.09,41.31,46.6,51.9,57.19,59.66,56.48,53.3,50.12,47.49,45.97,44.45,42.92,41.97,42.16,42.34,42.53,43.14,44.59,46.04,47.48,49.74,53.6,57.46,61.32,61.56,54.58,47.59,40.61,36.11,36.6,37.09,37.58,38.7,41.09,43.48,45.87,47.35,47.03,46.7,46.38,45.85,44.92,43.99,43.06,42.5,42.66,42.83,42.99,44.04,46.87,49.7,52.53,52.34,46.09,39.85,33.61,29.39,29.2,29.02,28.84,29.5,31.84,34.19,36.53,38.78,40.82,42.87,44.91,46.34,46.54,46.74,46.95,48.12,51.24,54.36,57.48,59.14,57.87,56.6,55.33,53.03,48.68,44.32,39.97,37.07,37.07,37.08,37.08,37.77,39.85,41.93,44.0,44.74,42.79,40.84,38.89,37.61,37.66,37.72,37.77,38.87,42.06,45.26,48.45,49.22,45.12,41.02,36.93,34.52,35.49,36.46,37.43,37.39,35.32,33.25,31.19,30.58,32.88,35.19,37.49,39.74,41.87,44.0,46.13,47.74,48.32,48.91,49.49,48.9,45.95,43.0,40.05,38.89,41.3,43.71,46.13,47.82,48.09,48.35,48.62,47.51,43.65,39.79,35.93,34.32,37.22,40.12,43.03,45.17,45.8,46.43,47.06,46.73,44.49,42.24,40.0,39.09,40.87,42.64,44.41,45.03,43.31,41.6,39.89,38.79,38.9,39.01,39.12,39.71,41.23,42.76,44.28,46.16,48.73,51.31,53.89,53.85,48.57,43.3,38.02,34.23,33.41,32.58,31.76,31.95,34.16,36.38,38.59,40.37,41.25,42.14,43.03,44.03,45.25,46.48,47.7,49.4,52.03,54.67,57.31,57.03,50.91,44.8,38.68,35.83,39.53,43.23,46.93,49.27,48.91,48.55,48.18,48.1,48.56,49.03,49.49,49.8,49.8
MID,22.53,23.88,25.23,26.58,27.14,26.12,25.11,24.09,23.76,24.77,25.78,26.8,27.52,27.68,27.83,27.98,27.4,25.35,23.31,21.26,20.19,21.09,21.99,22.89,23.62,24.01,24.4,24.79,25.08,25.14,25.21,25.27,25.38,25.57,25.76,25.96,25.76,24.8,23.84,22.87,22.15,21.9,21.65,21.4,21.11,20.74,20.36,19.99,19.75,19.79,19.84,19.88,19.96,20.12,20.27,20.43,20.44,20.14,19.84,19.55,20.14,22.51,24.88,27.26,28.31,26.71,25.12,23.53,22.49,22.53,22.58,22.63,22.77,23.1,23.43,23.76,24.06,24.29,24.51,24.74,25.18,26.05,26.91,27.78,27.66,25.55,23.45,21.35,20.18,20.9,21.62,22.34,22.79,22.72,22.64,22.57,22.2,21.21,20.23,19.25,19.24,21.14,23.05,24.96,26.43,27.05,27.66,28.28,28.57,28.21,27.85,27.49,27.02,26.33,25.65,24.96,24.24,23.45,22.66,21.86,21.41,21.64,21.87,22.11,22.16,21.85,21.55,21.24,21.03,21.02,21.0,20.99,21.0,21.05,21.11,21.17,21.52,22.47,23.41,24.36,24.74,23.98,23.23,22.47,21.86,21.52,21.19,20.85,20.94,21.85,22.76,23.67,24.69,25.94,27.19,28.44,28.53,26.32,24.1,21.89,20.48,20.7,20.92,21.14,21.8,23.31,24.82,26.34,27.3,27.15,27.0,26.85,26.38,25.26,24.14,23.02,22.2,21.97,21.75,21.52,21.39,21.45,21.51,21.58,21.96,22.99,24.02,25.05,25.3,24.01,22.72,21.43,20.82,21.55,22.28,23.01,23.58,23.81,24.05,24.29,24.13,23.17,22.21,21.26,20.81,21.41,22.0,22.59,22.81,22.31,21.8,21.29,20.8,20.35,19.89,19.43,19.45,20.42,21.38,22.35,22.74,22.0,21.26,20.51,20.2,20.73,21.27,21.81,21.98,21.42,20.87,20.31,19.87,19.67,19.46,19.26,19.46,20.45,21.44,22.43,22.88,22.24,21.59,20.95,20.6,20.83,21.07,21.3,21.45,21.45
NEA,17.38,18.01,18.63,19.26,19.58,19.27,18.95,18.64,18.09,17.03,15.98,14.93,14.34,14.68,15.01,15.35,15.71,16.12,16.53,16.94,16.86,15.78,14.7,13.63,12.99,13.25,13.51,13.77,14.08,14.51,14.94,15.36,15.62,15.53,15.44,15.35,15.69,16.9,18.11,19.32,19.66,18.28,16.89,15.5,14.38,13.79,13.19,12.6,12.32,12.69,13.05,13.42,13.64,13.58,13.52,13.45,13.66,14.39,15.12,15.85,16.21,15.85,15.48,15.11,14.74,14.37,14.0,13.63,13.62,14.36,15.1,15.84,16.26,16.04,15.81,15.59,15.55,15.87,16.2,16.52,16.6,16.21,15.82,15.42,15.23,15.44,15.64,15.85,15.86,15.47,15.09,14.7,14.36,14.1,13.84,13.58,13.62,14.25,14.87,15.5,15.75,15.23,14.72,14.21,14.2,15.21,16.22,17.23,17.55,16.48,15.42,14.36,13.58,13.38,13.18,12.98,12.89,13.01,13.13,13.25,13.21,12.85,12.5,12.14,12.11,12.71,13.31,13.91,14.31,14.31,14.31,14.31,14.31,14.32,14.34,14.35,14.18,13.65,13.12,12.59,12.29,12.44,12.58,12.73,13.08,13.86,14.64,15.42,15.69,14.96,14.22,13.49,13.16,13.65,14.14,14.63,14.74,14.1,13.46,12.82,12.86,14.28,15.71,17.13,17.63,16.29,14.94,13.6,12.84,13.24,13.64,14.05,14.41,14.7,14.98,15.27,15.51,15.67,15.83,15.99,15.94,15.47,14.99,14.52,14.21,14.2,14.2,14.19,14.12,13.9,13.68,13.46,13.44,13.85,14.25,14.66,15.26,16.27,17.28,18.29,18.36,16.57,14.78,12.99,11.98,12.53,13.09,13.65,14.19,14.71,15.23,15.74,15.85,15.15,14.44,13.73,13.25,13.22,13.19,13.17,13.53,14.67,15.81,16.95,17.68,17.61,17.53,17.45,17.16,16.46,15.76,15.05,14.32,13.51,12.7,11.89,11.96,13.79,15.61,17.44,18.33,17.37,16.4,15.44,14.49,13.57,12.65,11.74,11.12,11.12
NEF,19.24,20.01,20.78,21.55,21.75,20.82,19.89,18.96,18.5,18.98,19.47,19.95,20.03,19.32,18.6,17.89,17.39,17.32,17.25,17.19,17.09,16.95,16.81,16.67,16.75,17.29,17.83,18.37,18.61,18.23,17.85,17.47,17.53,18.45,19.37,20.29,20.6,19.66,18.73,17.8,16.98,16.39,15.79,15.2,14.95,15.38,15.81,16.24,16.54,16.58,16.62,16.66,16.48,15.89,15.3,14.71,14.53,15.16,15.8,16.44,16.96,17.24,17.53,17.81,17.86,17.42,16.99,16.56,16.49,17.16,17.83,18.5,18.71,18.0,17.29,16.57,16.43,17.43,18.43,19.43,19.84,19.1,18.36,17.62,16.98,16.52,16.06,15.6,15.44,15.88,16.31,16.74,17.09,17.27,17.44,17.62,17.52,16.86,16.2,15.53,15.1,15.12,15.14,15.16,15.76,17.54,19.32,21.1,21.94,20.91,19.88,18.85,18.17,18.16,18.16,18.16,17.91,17.14,16.38,15.62,15.21,15.5,15.79,16.08,16.14,15.76,15.37,14.98,14.94,15.6,16.26,16.91,17.15,16.54,15.93,15.32,15.11,15.71,16.3,16.9,17.18,16.85,16.51,16.18,15.95,15.94,15.93,15.92,16.1,16.67,17.25,17.82,18.57,19.66,20.76,21.85,21.95,20.04,18.13,16.22,15.21,15.99,16.77,17.55,18.04,17.96,17.87,17.78,17.59,17.21,16.82,16.43,16.28,16.58,16.87,17.17,17.36,17.32,17.28,17.24,17.07,16.64,16.21,15.78,15.61,15.97,16.33,16.68,16.74,16.2,15.66,15.13,15.03,15.82,16.61,17.4,18.25,19.23,20.2,21.17,21.29,19.71,18.12,16.53,15.53,15.7,15.87,16.04,16.11,15.97,15.83,15.7,15.43,14.91,14.39,13.88,13.66,14.05,14.44,14.84,15.15,15.31,15.47,15.63,15.79,15.95,16.1,16.26,16.45,16.71,16.97,17.23,17.21,16.64,16.06,15.49,15.96,18.54,21.11,23.69,24.97,23.66,22.36,21.06,19.96,19.29,18.61,17.94,17.49,17.49
NPL,33.9,33.15,32.39,31.63,30.79,29.79,28.79,27.79,27.62,29.12,30.62,32.12,32.92,32.33,31.74,31.15,31.26,32.76,34.27,35.77,36.12,34.16,32.21,30.25,29.19,29.9,30.61,31.33,31.87,32.08,32.29,32.5,32.54,32.25,31.95,31.66,31.05,29.83,28.61,27.39,26.86,27.73,28.6,29.47,29.76,28.9,28.04,27.18,27.19,28.95,30.7,32.46,33.97,34.96,35.96,36.95,36.8,34.34,31.88,29.42,28.8,31.83,34.86,37.89,39.52,38.37,37.21,36.06,34.96,33.96,32.97,31.98,30.99,30.03,29.07,28.11,28.8,32.82,36.83,40.85,42.67,40.12,37.56,35.01,32.76,31.12,29.48,27.84,26.6,26.14,25.69,25.24,25.12,25.68,26.24,26.8,27.31,27.74,28.17,28.59,28.72,28.26,27.8,27.34,27.67,29.59,31.52,33.44,34.57,34.1,33.64,33.17,32.24,30.37,28.5,26.64,25.67,26.49,27.32,28.15,28.52,27.98,27.45,26.91,27.02,28.42,29.82,31.23,32.41,33.17,33.93,34.68,34.81,33.67,32.53,31.39,30.34,29.49,28.63,27.78,27.03,26.5,25.97,25.44,25.51,26.78,28.05,29.32,30.43,31.24,32.04,32.84,33.18,32.59,31.99,31.4,31.16,31.64,32.11,32.59,32.93,33.01,33.08,33.16,33.16,33.04,32.92,32.79,32.45,31.65,30.85,30.05,29.56,29.68,29.79,29.91,29.87,29.53,29.18,28.83,28.88,29.7,30.52,31.34,31.65,30.95,30.24,29.54,29.42,30.48,31.54,32.59,33.22,32.99,32.77,32.54,32.58,33.18,33.78,34.38,34.3,32.86,31.42,29.98,29.19,29.7,30.2,30.7,30.81,30.14,29.46,28.78,28.18,27.74,27.3,26.86,26.51,26.33,26.15,25.97,26.06,26.67,27.29,27.9,28.54,29.21,29.89,30.57,31.11,31.4,31.68,31.96,32.72,34.43,36.14,37.85,39.16,39.66,40.16,40.66,41.09,41.4,41.71,42.02,41.14,37.86,34.58,31.3,29.11,29.11
