Region,Year,Season,ACI_Combined_Seasonal_Smoothed,ACI_Combined_Seasonal_Unsmoothed,CDD_Seasonal_Smoothed,CDD_Seasonal_Unsmoothed,CDD_Seasonal_Unsmoothed_Unstandardized,Rx5Day_Seasonal_Smoothed,Rx5Day_Seasonal_Unsmoothed,Rx5Day_Seasonal_Unsmoothed_Unstandardized,Sea_Level_Seasonal_Smoothed,Sea_Level_Seasonal_Unsmoothed,Sea_Level_Seasonal_Unsmoothed_Unstandardized,T10_Seasonal_Smoothed,T10_Seasonal_Unsmoothed,T10_Seasonal_Unsmoothed_Unstandardized,T90_Seasonal_Smoothed,T90_Seasonal_Unsmoothed,T90_Seasonal_Unsmoothed_Unstandardized,WP90_Seasonal_Smoothed,WP90_Seasonal_Unsmoothed,WP90_Seasonal_Unsmoothed_Unstandardized
ALA,1961,1,0.24,0.58,0.13,-0.26,33.96,0.01,-0.57,18.91,1.34,1.34,7266.74,0.05,-1.51,1.31,-0.11,0.42,13.04,0.14,0.62,11.51
CAR,1961,1,-0.12,0.32,,,,0.08,0.87,12.71,,,,0.1,-0.98,5.47,-0.3,-0.12,10.12,-0.18,-0.47,8.62
CEA,1961,1,-0.31,-0.8,-0.18,-1.01,14.93,-0.17,-0.33,35.98,-0.89,-0.89,6917.55,0.09,1.19,15.88,-0.1,-0.41,8.26,-0.44,-1.05,7.18
CWP,1961,1,0.06,0.33,0.44,0.75,50.62,-0.49,-0.82,38.92,0.2,0.2,7126.53,-0.27,-1.29,2.7,0.06,0.79,13.28,-0.1,-0.27,9.0
MID,1961,1,0.05,-0.25,0.76,-0.47,22.53,-0.14,-1.01,18.31,,,,-0.15,-0.65,6.86,-0.15,0.49,11.98,-0.34,-0.92,7.69
NEA,1961,1,-0.41,-0.41,-0.29,1.25,17.38,-0.42,-0.09,40.77,-1.25,-1.25,7004.67,-0.07,0.64,12.91,0.03,-1.58,4.89,-0.58,-1.11,7.01
NEF,1961,1,-0.01,-0.39,0.8,1.0,19.24,-0.25,-0.49,24.58,-0.27,-0.27,6746.57,0.01,0.0,10.35,-0.21,-0.41,8.95,-0.11,-1.52,7.35
NPL,1961,1,0.18,0.84,-0.32,0.75,33.9,-0.39,0.45,13.0,1.27,1.27,7395.0,-0.02,-1.52,2.29,-0.27,0.53,13.22,0.78,0.57,11.68
NWP,1961,1,0.36,0.74,0.67,2.01,28.43,0.19,0.45,47.67,-0.14,-0.14,7114.58,-0.02,-1.34,1.94,0.02,0.62,13.54,1.42,-0.34,9.28
SEA,1961,1,-0.08,-0.32,0.06,-0.76,20.73,0.14,0.38,60.56,-1.03,-1.03,6905.54,-0.18,0.16,10.96,-0.03,-0.27,8.7,0.19,-0.04,9.94
SPL,1961,1,-0.12,-0.05,0.82,-0.54,38.19,-0.21,1.27,24.78,-1.49,-1.49,6854.45,-0.2,-1.09,5.26,-0.09,-0.23,9.37,0.05,-0.44,9.16
SWP,1961,1,0.08,-0.13,0.76,0.91,76.52,-0.63,-1.3,16.81,0.05,0.05,7039.15,-0.42,-1.04,5.68,0.16,-0.3,8.66,-0.27,-0.89,6.6
CAN,1961,1,0.01,0.45,0.26,1.93,27.08,-0.34,0.27,27.67,-0.1,-0.1,7010.23,-0.03,-1.1,6.09,-0.23,0.16,10.88,0.44,-0.62,8.88
USA,1961,1,0.02,-0.03,0.94,0.3,40.52,-0.38,-0.66,28.13,-0.51,-0.51,6997.8,-0.31,-1.22,6.21,-0.07,0.06,10.23,-0.15,-0.81,8.87
USC,1961,1,0.03,0.0,0.9,0.61,37.14,-0.46,-0.57,27.98,-0.39,-0.39,7000.42,-0.19,-1.23,6.16,-0.15,0.12,10.52,0.09,-1.15,8.87
ALA,1961,2,0.24,0.06,0.18,-0.27,33.93,-0.01,-0.02,19.43,1.38,1.38,7091.37,0.05,0.36,12.7,-0.11,-0.5,6.77,0.04,-0.11,9.71
CAR,1961,2,-0.16,-1.04,,,,0.06,-0.77,9.52,,,,0.16,1.66,17.72,-0.3,-0.72,7.46,-0.22,-1.01,7.49
CEA,1961,2,-0.28,-0.34,-0.22,-0.59,15.69,-0.16,0.44,47.61,-0.82,-0.82,7032.2,-0.01,0.78,12.06,-0.08,-0.98,6.15,-0.43,-0.59,8.62
CWP,1961,2,0.09,0.32,0.46,0.49,48.66,-0.47,-0.6,26.31,0.24,0.24,7040.13,-0.32,-0.96,6.16,0.03,-0.43,7.94,-0.05,0.48,11.09
MID,1961,2,0.07,0.04,0.74,0.05,23.88,-0.08,0.98,48.67,,,,-0.19,0.42,11.36,-0.18,-1.15,5.2,-0.31,0.73,12.0
NEA,1961,2,-0.33,0.35,-0.2,1.63,18.01,-0.32,1.43,54.3,-1.18,-1.18,6961.67,-0.14,-0.03,9.84,0.08,-0.71,6.89,-0.52,-0.72,8.52
NEF,1961,2,0.03,-0.14,0.88,1.47,20.01,-0.31,-0.47,30.71,-0.28,-0.28,7164.87,-0.12,0.09,10.31,-0.17,-0.86,6.54,-0.08,-0.66,8.65
NPL,1961,2,0.21,0.21,-0.26,0.54,33.15,-0.39,-1.47,14.51,1.26,1.26,7316.67,-0.07,0.14,10.91,-0.23,-0.18,9.29,0.82,1.27,12.95
NWP,1961,2,0.37,0.41,0.73,1.66,27.62,0.21,-0.01,32.71,-0.1,-0.1,6989.47,-0.07,-0.08,9.42,0.03,0.03,10.17,1.28,0.59,11.25
SEA,1961,2,-0.09,-0.07,-0.05,-0.3,21.65,0.21,0.79,71.73,-0.98,-0.98,6971.82,-0.16,0.75,12.01,-0.09,-0.79,6.96,0.22,1.44,14.16
SPL,1961,2,-0.13,-0.38,0.65,-0.43,38.55,-0.13,-1.28,30.51,-1.48,-1.48,6938.56,-0.22,-0.05,9.86,-0.14,-0.35,8.78,0.1,1.12,12.51
SWP,1961,2,0.09,-0.01,0.71,0.82,75.84,-0.6,-0.81,16.33,0.05,0.05,6951.75,-0.44,-0.72,7.07,0.15,-0.39,8.04,-0.23,0.35,11.64
CAN,1961,2,0.04,-0.03,0.37,1.77,26.84,-0.34,-0.67,26.36,-0.09,-0.09,7062.99,-0.08,0.4,11.49,-0.2,-0.58,8.03,0.42,-0.37,9.47
USA,1961,2,0.04,0.05,0.85,0.37,40.7,-0.29,-0.16,35.6,-0.44,-0.44,7013.25,-0.34,0.09,10.09,-0.12,-0.99,7.4,-0.12,0.98,11.77
USC,1961,2,0.05,-0.01,0.84,0.64,37.22,-0.39,-0.28,32.95,-0.34,-0.34,7023.72,-0.24,0.28,10.71,-0.16,-0.88,7.66,0.1,0.58,10.63
ALA,1961,3,0.25,0.19,0.22,-0.27,33.89,0.04,1.2,40.63,1.37,1.37,7108.44,0.04,0.55,11.29,-0.12,-1.37,4.76,0.05,0.59,11.5
CAR,1961,3,-0.1,0.86,,,,0.07,0.34,29.22,,,,0.05,-1.18,6.46,-0.2,0.94,13.38,-0.22,0.98,11.5
CEA,1961,3,-0.29,-0.77,-0.26,-0.17,16.45,-0.15,-0.28,49.03,-0.85,-0.85,7003.99,-0.08,-0.28,9.07,-0.09,-0.88,6.1,-0.44,-1.91,5.7
CWP,1961,3,0.11,0.49,0.47,0.22,46.71,-0.5,-1.15,12.27,0.24,0.24,6948.0,-0.46,-2.45,2.42,0.18,2.72,20.02,-0.15,-1.58,4.82
MID,1961,3,0.06,-0.26,0.72,0.57,25.23,-0.12,-0.85,48.73,,,,-0.19,-0.14,9.39,-0.23,-0.56,6.7,-0.28,-0.62,8.3
NEA,1961,3,-0.29,-0.28,-0.1,2.0,18.63,-0.32,-1.06,39.36,-1.17,-1.17,6901.67,-0.24,-0.66,8.04,0.14,-0.3,8.83,-0.5,-1.37,7.36
NEF,1961,3,0.07,0.04,0.97,1.93,20.78,-0.33,-0.87,42.43,-0.28,-0.28,6914.8,-0.19,-0.46,8.49,-0.15,-0.62,7.6,0.02,-0.88,8.51
NPL,1961,3,0.23,0.65,-0.19,0.33,32.39,-0.53,-2.39,22.92,1.27,1.27,7428.33,-0.14,-1.4,5.31,-0.08,2.96,22.06,0.75,0.19,10.41
NWP,1961,3,0.41,1.31,0.78,1.32,26.81,0.25,0.78,39.27,-0.1,-0.1,7020.04,-0.17,-1.64,5.06,0.16,1.82,16.05,1.23,2.31,15.25
SEA,1961,3,-0.11,-0.46,-0.15,0.15,22.56,0.3,0.39,69.18,-0.94,-0.94,7009.28,-0.08,1.38,14.02,-0.16,-0.99,3.82,0.25,0.51,11.38
SPL,1961,3,-0.16,-0.53,0.48,-0.31,38.92,0.04,0.66,44.78,-1.41,-1.41,6955.0,-0.15,0.48,10.86,-0.22,-0.16,8.85,0.01,-1.81,5.46
SWP,1961,3,0.11,0.29,0.65,0.74,75.16,-0.53,-0.3,18.3,0.06,0.06,7035.46,-0.53,-1.3,6.26,0.21,1.2,13.04,-0.28,-0.7,7.09
CAN,1961,3,0.08,0.62,0.48,1.61,26.59,-0.44,-1.95,33.83,-0.09,-0.09,7005.27,-0.19,-1.5,6.57,-0.07,1.53,14.22,0.42,0.75,10.86
USA,1961,3,0.03,-0.33,0.75,0.44,40.88,-0.16,0.09,40.63,-0.43,-0.43,7017.88,-0.35,-0.02,9.56,-0.15,-0.27,8.72,-0.18,-1.21,8.01
USC,1961,3,0.06,0.06,0.77,0.67,37.29,-0.29,-0.65,38.9,-0.34,-0.34,7015.23,-0.31,-0.86,8.41,-0.12,0.5,10.82,0.06,-0.55,9.43
ALA,1961,4,0.29,0.16,0.25,-0.28,33.85,0.06,1.43,40.88,1.36,1.36,7170.04,-0.09,0.73,13.3,-0.14,-0.92,5.06,0.14,1.04,11.97
CAR,1961,4,-0.1,-0.5,,,,0.14,1.56,28.28,,,,0.07,1.7,17.47,-0.25,-1.22,6.2,-0.21,-0.63,8.49
CEA,1961,4,-0.24,0.44,-0.27,0.25,17.21,-0.18,-1.41,36.68,-0.86,-0.86,7035.99,-0.2,-1.36,5.21,0.06,2.85,22.37,-0.36,0.22,10.76
