Region,Year,Month,ACI_Combined_Monthly_Smoothed,ACI_Combined_Monthly_Unsmoothed,CDD_Monthly_Smoothed,CDD_Monthly_Unsmoothed,CDD_Monthly_Unsmoothed_Unstandardized,Rx5Day_Monthly_Smoothed,Rx5Day_Monthly_Unsmoothed,Rx5Day_Monthly_Unsmoothed_Unstandardized,Sea_Level_Monthly_Smoothed,Sea_Level_Monthly_Unsmoothed,Sea_Level_Monthly_Unsmoothed_Unstandardized,T10_Monthly_Smoothed,T10_Monthly_Unsmoothed,T10_Monthly_Unsmoothed_Unstandardized,T90_Monthly_Smoothed,T90_Monthly_Unsmoothed,T90_Monthly_Unsmoothed_Unstandardized,WP90_Monthly_Smoothed,WP90_Monthly_Unsmoothed,WP90_Monthly_Unsmoothed_Unstandardized
ALA,1961.0,1.0,0.21,0.68,0.12,-0.26,33.96,0.03,0.11,21.24,1.15,1.99,7291.44,0.07,-0.91,0.55,-0.09,0.8,19.37,0.12,0.55,11.92
CAR,1961.0,1.0,-0.09,0.48,,,,0.1,1.79,17.58,,,,0.12,-0.54,6.23,-0.22,-0.36,7.52,-0.13,-0.05,9.82
CEA,1961.0,1.0,-0.26,-0.82,-0.15,-1.0,14.93,-0.17,-0.3,32.24,-0.83,-1.0,6890.32,0.05,1.49,20.54,-0.07,-0.58,6.23,-0.27,-0.56,7.61
CWP,1961.0,1.0,0.07,0.35,0.44,0.76,50.62,-0.33,-1.28,30.66,0.19,0.38,7145.4,-0.15,-0.95,1.95,0.02,1.5,17.67,-0.02,-0.18,8.93
MID,1961.0,1.0,0.08,-0.46,0.76,-0.47,22.53,-0.11,-1.62,7.88,,,,-0.09,-0.02,10.1,-0.13,0.51,13.37,-0.21,-0.74,6.16
NEA,1961.0,1.0,-0.31,-0.2,-0.3,1.25,17.38,-0.26,0.23,43.2,-1.01,0.45,7055.0,-0.05,1.81,20.15,-0.01,-1.32,1.9,-0.31,0.0,10.0
NEF,1961.0,1.0,0.02,-0.6,0.78,1.0,19.24,-0.22,-1.32,18.36,-0.2,-0.64,6726.7,0.03,0.97,15.46,-0.17,-0.66,7.16,-0.06,-1.03,6.59
NPL,1961.0,1.0,0.17,0.34,-0.34,0.75,33.9,-0.18,-1.05,9.66,1.23,0.99,7405.0,0.04,-0.92,2.43,-0.18,0.68,15.37,0.53,-0.27,8.93
NWP,1961.0,1.0,0.27,0.66,0.66,2.01,28.43,0.09,-0.05,46.61,-0.09,0.47,7128.89,0.03,-0.99,0.69,0.02,0.68,15.57,0.97,-0.15,9.49
SEA,1961.0,1.0,-0.09,-0.68,0.09,-0.75,20.73,0.08,-0.8,43.47,-0.94,-1.19,6874.0,-0.15,0.42,13.24,-0.02,-0.56,5.44,0.1,-0.38,8.77
SPL,1961.0,1.0,-0.09,-0.48,0.87,-0.54,38.19,-0.13,0.15,18.95,-1.34,-1.67,6809.0,-0.11,-0.35,7.77,-0.07,-0.1,9.53,0.02,-1.06,6.29
SWP,1961.0,1.0,0.09,-0.08,0.78,0.91,76.52,-0.39,-0.83,18.81,0.05,0.2,7064.88,-0.21,-0.83,5.05,0.07,-0.09,9.36,-0.19,-1.51,2.97
CAN,1961.0,1.0,0.01,0.24,0.23,1.93,27.08,-0.21,-0.7,24.32,-0.05,0.16,7015.84,0.04,-0.38,8.15,-0.16,0.12,10.83,0.32,-0.45,8.84
USA,1961.0,1.0,0.05,-0.25,0.97,0.31,40.52,-0.25,-1.23,22.77,-0.49,-0.29,6987.42,-0.18,-0.54,7.59,-0.05,0.39,11.27,-0.08,-1.23,7.25
