,1961.0,1961.0,1961.0,1961.0,1962.0,1962.0,1962.0,1962.0,1963.0,1963.0,1963.0,1963.0,1964.0,1964.0,1964.0,1964.0,1965.0,1965.0,1965.0,1965.0,1966.0,1966.0,1966.0,1966.0,1967.0,1967.0,1967.0,1967.0,1968.0,1968.0,1968.0,1968.0,1969.0,1969.0,1969.0,1969.0,1970.0,1970.0,1970.0,1970.0,1971.0,1971.0,1971.0,1971.0,1972.0,1972.0,1972.0,1972.0,1973.0,1973.0,1973.0,1973.0,1974.0,1974.0,1974.0,1974.0,1975.0,1975.0,1975.0,1975.0,1976.0,1976.0,1976.0,1976.0,1977.0,1977.0,1977.0,1977.0,1978.0,1978.0,1978.0,1978.0,1979.0,1979.0,1979.0,1979.0,1980.0,1980.0,1980.0,1980.0,1981.0,1981.0,1981.0,1981.0,1982.0,1982.0,1982.0,1982.0,1983.0,1983.0,1983.0,1983.0,1984.0,1984.0,1984.0,1984.0,1985.0,1985.0,1985.0,1985.0,1986.0,1986.0,1986.0,1986.0,1987.0,1987.0,1987.0,1987.0,1988.0,1988.0,1988.0,1988.0,1989.0,1989.0,1989.0,1989.0,1990.0,1990.0,1990.0,1990.0,1991.0,1991.0,1991.0,1991.0,1992.0,1992.0,1992.0,1992.0,1993.0,1993.0,1993.0,1993.0,1994.0,1994.0,1994.0,1994.0,1995.0,1995.0,1995.0,1995.0,1996.0,1996.0,1996.0,1996.0,1997.0,1997.0,1997.0,1997.0,1998.0,1998.0,1998.0,1998.0,1999.0,1999.0,1999.0,1999.0,2000.0,2000.0,2000.0,2000.0,2001.0,2001.0,2001.0,2001.0,2002.0,2002.0,2002.0,2002.0,2003.0,2003.0,2003.0,2003.0,2004.0,2004.0,2004.0,2004.0,2005.0,2005.0,2005.0,2005.0,2006.0,2006.0,2006.0,2006.0,2007.0,2007.0,2007.0,2007.0,2008.0,2008.0,2008.0,2008.0,2009.0,2009.0,2009.0,2009.0,2010.0,2010.0,2010.0,2010.0,2011.0,2011.0,2011.0,2011.0,2012.0,2012.0,2012.0,2012.0,2013.0,2013.0,2013.0,2013.0,2014.0,2014.0,2014.0,2014.0,2015.0,2015.0,2015.0,2015.0,2016.0,2016.0,2016.0,2016.0,2017.0,2017.0,2017.0,2017.0,2018.0,2018.0,2018.0,2018.0,2019.0,2019.0,2019.0,2019.0,2020.0,2020.0,2020.0,2020.0,2021.0,2021.0,2021.0,2021.0,2022.0,2022.0,2022.0,2022.0,2023.0,2023.0
,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0
ALA,18.91,19.43,40.63,40.88,22.82,19.88,41.05,32.82,24.45,29.63,36.35,29.97,23.73,20.72,31.54,31.23,19.09,24.02,33.47,35.82,19.38,21.4,31.86,31.77,14.75,21.8,51.61,30.21,27.05,19.87,23.76,25.08,15.02,15.43,29.74,25.68,17.39,18.19,30.34,34.97,23.44,18.08,38.74,35.15,21.49,15.82,26.42,34.31,20.29,17.73,30.12,24.73,14.68,14.21,27.76,40.16,20.7,17.78,29.3,30.4,19.72,19.56,22.15,39.22,25.6,25.03,24.14,33.24,17.68,14.33,26.17,30.94,18.42,21.34,34.05,40.33,23.27,17.15,37.02,30.32,20.95,16.82,44.59,34.2,16.24,21.8,35.09,36.81,16.66,18.91,29.22,36.58,19.34,17.31,35.0,22.43,26.42,22.44,32.4,37.18,24.98,15.1,35.0,39.6,24.84,18.73,30.62,40.94,23.78,23.1,30.18,33.0,24.12,18.53,37.07,37.18,24.66,20.96,34.99,36.2,26.95,25.9,28.85,32.37,25.63,26.13,29.75,35.16,28.78,16.85,26.2,42.85,18.23,21.96,30.82,35.12,19.64,21.76,29.79,32.22,21.53,18.26,35.56,31.02,20.91,16.61,29.2,30.48,15.36,21.79,37.51,30.13,17.73,17.23,35.01,35.1,30.11,19.25,31.83,36.84,20.35,18.86,30.95,24.6,19.37,25.38,37.61,38.62,22.74,18.3,38.8,37.82,20.38,21.45,24.38,43.78,26.04,22.02,33.33,38.5,19.15,19.72,40.67,30.42,16.43,13.98,26.75,35.28,19.26,20.7,39.15,30.72,26.57,16.91,33.59,32.33,15.71,15.27,31.83,35.93,20.72,13.31,36.62,27.93,24.98,17.41,32.16,37.64,24.85,20.42,29.47,44.54,20.78,15.45,46.16,29.44,20.28,20.34,32.34,54.58,19.1,27.16,37.51,28.98,29.04,19.74,31.06,39.15,23.8,24.61,34.92,34.35,23.21,19.37,29.29,46.92,24.13,22.32,33.43,36.96,20.87,23.85,32.98,31.78,38.56,16.02,36.47,40.57,23.12,20.19
CAR,12.71,9.52,29.22,28.28,18.26,7.09,36.96,18.18,20.03,6.13,28.45,9.85,10.75,12.98,11.04,38.41,8.26,5.07,19.61,22.55,11.23,15.3,16.96,26.15,8.59,11.79,19.78,15.05,10.61,13.6,24.15,24.55,6.87,13.31,20.33,9.37,8.23,16.75,15.32,10.4,10.4,9.34,13.97,18.24,8.02,14.91,18.39,16.69,11.3,12.58,50.36,8.96,11.11,12.13,27.79,14.76,10.34,13.93,26.16,20.94,11.22,9.58,31.67,14.71,9.21,12.49,20.35,11.46,6.43,11.47,22.9,17.85,6.14,19.36,16.52,14.35,7.44,9.29,26.09,21.84,9.94,13.37,18.39,26.42,8.14,11.69,15.05,16.91,10.36,10.36,26.91,17.85,8.56,12.3,50.73,25.25,11.97,10.05,25.16,15.03,7.71,12.18,27.8,12.54,11.81,11.23,38.8,18.38,9.59,14.31,41.32,19.24,6.38,13.84,20.55,15.23,9.56,9.11,33.31,16.63,10.51,17.5,31.13,33.42,10.86,10.6,12.49,20.21,8.92,12.07,19.27,10.94,8.09,17.12,18.72,22.64,7.7,10.17,17.94,7.98,8.66,9.38,24.92,17.63,6.85,10.99,41.4,28.59,8.11,7.38,43.51,13.72,8.48,10.62,39.12,15.04,7.28,7.49,33.54,16.06,7.71,16.3,33.86,17.13,7.94,10.14,33.8,11.66,6.58,12.98,19.6,16.55,10.0,8.03,10.49,15.65,11.96,14.01,41.51,18.57,6.5,9.94,26.15,18.95,7.23,14.78,21.29,20.76,9.67,13.45,26.51,29.7,11.0,8.3,27.37,22.04,10.63,15.41,32.5,14.82,9.8,4.99,31.99,16.68,8.1,15.76,22.28,33.07,8.3,6.82,32.13,15.3,10.58,7.34,28.63,18.94,9.46,4.59,28.07,13.59,10.76,16.27,31.27,25.15,18.53,14.35,22.64,10.56,12.23,14.79,30.44,7.42,7.92,9.38,17.48,19.89,9.8,11.58,48.01,16.72,6.87,10.77,12.81,11.5,9.49,10.34,6.6,6.43,6.32,6.32
CEA,35.98,47.61,49.03,36.68,37.16,36.69,43.78,54.74,32.15,33.22,41.28,49.8,38.0,39.63,40.1,36.03,38.68,29.11,37.15,38.34,35.35,35.24,37.42,51.42,34.3,44.66,51.44,44.56,34.89,49.08,45.31,45.23,38.73,42.21,63.0,46.86,43.17,43.91,49.84,48.01,38.94,39.25,55.47,54.91,35.95,45.13,66.31,47.68,44.51,54.54,61.62,55.12,46.54,47.5,48.69,46.01,39.15,42.42,57.96,71.29,45.15,43.06,55.37,45.13,33.39,46.55,49.05,60.81,44.48,42.06,48.15,36.47,55.71,54.83,47.55,58.75,24.03,48.12,47.53,44.77,32.51,39.9,49.79,56.63,45.01,36.64,56.71,39.18,33.71,58.22,47.16,50.99,45.11,63.11,67.12,36.01,35.26,37.76,46.01,65.81,41.89,45.25,57.78,42.79,33.67,45.29,46.79,53.87,35.48,40.02,52.59,47.76,26.7,51.94,56.58,56.84,35.9,46.54,61.56,50.82,39.03,44.32,48.01,46.79,32.9,37.68,54.8,43.5,39.02,45.18,42.61,49.29,47.5,45.65,58.18,43.04,35.71,32.47,46.39,59.09,40.33,49.59,58.7,68.34,40.4,39.57,48.97,43.94,46.9,49.28,60.04,37.56,34.79,38.42,43.19,66.74,34.78,53.67,52.92,37.98,39.35,42.25,44.25,36.79,28.7,48.33,44.8,54.55,40.28,41.99,59.3,65.39,43.18,43.95,58.13,63.57,41.73,51.99,54.67,76.56,43.79,44.42,76.68,59.86,39.71,57.5,48.52,49.1,44.56,54.55,59.63,57.08,41.91,42.95,62.51,49.28,48.01,50.11,54.11,68.69,41.39,70.12,61.39,71.52,33.38,43.73,50.86,63.82,44.06,43.09,70.16,47.49,42.19,55.63,58.87,38.32,36.09,34.51,58.3,63.42,43.26,32.45,51.15,46.01,38.7,49.9,53.95,66.28,41.09,45.92,63.98,62.11,45.08,44.22,49.55,51.96,38.52,42.17,51.65,52.45,37.61,42.52,60.28,62.82,33.29,42.06,43.46,61.0,38.16,48.5
CWP,38.92,26.31,12.27,35.58,35.99,31.93,12.29,41.41,45.04,37.29,15.13,32.82,32.52,20.82,20.78,27.67,68.92,23.33,19.24,21.19,41.05,20.3,12.54,31.08,45.91,26.15,10.79,24.85,46.35,21.94,24.88,34.86,47.18,20.57,16.1,24.82,51.36,22.91,14.68,36.42,45.84,31.71,17.23,36.75,50.93,33.89,16.11,25.94,37.7,21.47,9.92,42.16,55.6,35.28,12.7,20.53,43.31,29.23,20.65,31.47,49.38,23.36,21.32,15.86,19.05,23.83,20.13,37.07,48.93,29.01,18.6,25.22,42.87,30.36,15.51,34.01,53.18,33.65,15.31,32.09,54.62,33.95,17.65,45.22,69.39,35.04,21.81,46.19,65.77,48.06,28.76,37.85,54.28,40.57,26.08,45.44,38.74,31.06,21.1,46.95,60.57,34.19,12.2,45.23,39.15,33.09,21.26,14.33,49.98,38.74,16.15,35.42,44.1,38.17,16.7,33.49,51.89,40.96,25.06,33.28,39.72,48.72,18.97,36.32,42.84,23.65,21.63,40.5,46.98,43.07,30.34,16.34,51.57,30.99,11.39,44.74,61.67,43.08,23.83,42.33,82.37,44.76,13.99,51.78,83.95,42.06,25.7,46.02,50.25,39.58,18.38,42.05,71.38,34.3,16.07,35.57,55.25,31.82,13.13,32.9,28.34,28.52,17.88,35.08,53.99,34.69,12.52,24.27,61.78,39.5,9.52,32.73,58.32,31.3,26.36,33.3,44.33,49.24,14.87,39.78,82.78,38.06,13.59,45.77,54.83,28.51,16.03,41.16,62.53,28.38,17.24,33.99,56.26,41.79,19.17,31.8,39.64,43.15,23.47,44.03,61.56,48.72,15.15,31.09,64.22,50.73,15.66,39.68,50.59,32.73,15.61,54.13,51.76,45.01,20.22,45.03,58.59,30.96,15.05,42.69,63.3,37.37,12.77,50.87,65.07,44.64,13.17,52.11,42.15,37.1,10.49,32.51,59.64,49.09,13.1,33.42,54.26,37.29,18.33,42.28,54.22,22.85,12.41,47.0,55.33,45.29,20.38,40.79,51.47,39.41
MID,18.31,48.67,48.73,53.01,25.68,38.36,51.14,36.33,11.85,42.88,48.18,27.24,14.09,48.8,49.65,34.43,27.6,42.61,50.07,50.2,29.81,37.82,49.2,35.99,29.24,38.5,53.06,40.56,25.01,44.37,60.5,43.44,36.21,36.66,58.23,44.29,16.84,46.44,52.23,52.31,28.69,30.1,44.45,43.61,26.1,38.47,56.85,50.51,28.52,55.94,54.16,56.14,27.46,43.32,54.11,40.05,27.69,47.7,55.71,39.59,25.61,45.52,43.76,22.48,14.62,46.75,60.43,51.34,19.64,40.83,60.42,47.2,28.59,44.08,61.65,44.26,19.93,32.23,60.15,35.18,19.54,41.75,63.85,41.44,30.59,42.78,55.8,47.06,35.72,49.04,51.31,53.66,22.57,48.42,46.25,52.58,34.18,48.42,53.3,54.78,25.61,42.19,57.43,59.28,15.85,37.25,57.47,34.48,28.71,32.69,40.5,46.52,24.31,40.34,52.16,40.81,22.11,52.14,62.8,39.62,28.12,50.27,48.61,54.37,24.96,36.31,54.75,50.77,26.15,41.57,68.4,48.11,22.8,40.86,55.28,43.31,21.8,47.64,57.88,39.71,23.98,45.52,54.43,46.36,27.53,37.14,53.62,35.47,28.44,53.54,64.14,45.25,25.35,44.4,56.06,34.57,25.52,38.88,60.09,39.59,30.01,44.27,54.14,50.3,30.71,48.32,59.99,37.85,18.67,43.33,52.99,49.64,24.56,51.52,57.56,42.21,32.18,33.17,52.12,45.09,24.71,48.59,51.53,40.94,37.17,45.74,57.91,41.39,32.83,48.72,61.53,43.55,27.02,51.1,53.7,48.25,26.85,41.44,67.26,47.15,24.87,56.06,55.15,39.71,25.83,46.02,42.06,37.39,33.91,56.16,55.38,42.04,25.2,44.59,63.07,46.01,18.81,40.27,63.94,48.62,40.44,45.99,65.42,44.4,25.44,60.44,56.34,42.55,29.48,41.59,65.93,64.62,33.83,52.31,56.04,57.36,35.86,50.07,59.04,47.54,21.54,43.43,62.38,43.58,24.1,44.88,49.87,35.95,31.24,39.96
NEA,40.77,54.3,39.36,47.6,34.27,39.82,52.61,54.19,42.66,42.02,49.33,58.06,39.35,35.71,40.01,43.41,48.97,30.3,34.01,38.45,40.95,33.5,34.1,46.33,39.06,40.71,43.5,52.94,46.2,32.65,38.87,48.01,43.76,37.6,47.77,55.68,41.52,37.26,50.97,47.59,42.35,49.43,48.44,46.78,34.15,48.99,47.54,46.2,45.08,50.88,67.7,38.34,44.85,41.94,41.62,49.91,30.24,38.12,44.88,46.33,48.08,45.78,53.88,47.97,43.38,37.96,52.87,54.31,47.22,30.44,35.03,39.2,49.89,63.05,54.03,51.15,33.69,45.62,41.62,51.53,42.44,47.05,54.7,63.04,53.55,43.7,54.72,40.1,34.83,50.02,49.44,44.92,52.02,56.45,60.74,35.75,37.8,35.96,48.25,40.34,33.56,54.28,60.74,37.8,32.41,33.17,41.17,54.31,42.83,31.36,49.1,40.51,31.88,39.95,48.34,41.84,42.07,42.3,60.81,50.93,41.48,48.61,43.76,52.88,37.28,31.74,56.42,36.15,35.52,47.12,44.08,47.44,47.05,59.04,36.72,47.4,41.95,36.21,37.97,45.9,42.73,39.69,46.62,52.84,39.07,39.98,36.77,35.64,48.47,45.0,47.03,54.62,38.95,39.01,42.6,67.69,44.13,43.59,38.03,40.45,39.63,46.32,38.63,46.93,32.27,41.73,43.51,61.66,40.8,53.43,55.81,53.14,40.62,30.07,44.37,49.92,38.12,68.87,42.06,69.97,51.84,40.07,61.36,45.61,35.56,52.65,40.6,49.45,40.09,45.99,57.63,59.05,43.68,43.09,62.3,52.3,42.92,43.56,57.06,62.68,41.25,53.27,61.27,45.55,38.11,42.36,53.39,54.65,41.05,42.71,62.81,50.56,40.24,47.7,54.3,47.5,46.2,34.76,48.12,63.01,40.58,45.96,46.16,41.64,40.18,38.32,39.01,54.38,46.53,39.38,46.02,49.0,47.37,41.46,51.18,56.32,29.24,36.61,38.55,50.66,39.76,42.19,37.41,63.13,33.44,39.45,53.95,55.47,36.86,28.08
NEF,24.58,30.71,42.43,39.24,26.33,29.87,42.99,32.83,22.3,30.08,43.64,30.83,23.24,34.74,45.0,31.7,29.68,26.77,39.09,43.11,28.89,29.6,42.06,40.32,31.0,27.91,45.59,41.46,27.62,31.63,48.56,36.32,30.88,29.56,49.03,38.54,25.25,31.98,45.05,45.96,27.72,31.38,40.23,39.47,27.75,29.34,53.12,37.06,27.68,38.52,49.58,42.55,29.53,39.23,47.08,35.68,26.46,32.3,44.86,37.33,29.25,39.59,43.23,29.73,24.63,31.13,46.73,44.21,25.37,29.32,40.77,38.74,27.64,40.64,43.53,45.01,21.31,31.89,44.74,36.56,24.62,33.79,48.0,43.36,26.48,27.36,45.86,42.37,26.12,40.69,41.44,46.16,25.17,35.02,48.01,37.44,29.33,34.32,45.63,47.84,23.53,40.05,48.61,43.35,18.67,28.65,46.87,38.55,25.97,27.72,49.36,40.2,20.75,33.16,41.52,36.48,23.74,33.76,44.63,42.33,25.42,39.32,41.7,39.04,24.08,32.34,52.53,40.78,24.82,30.41,46.01,37.14,24.25,28.78,51.78,40.03,27.27,32.34,44.77,44.12,31.35,37.35,49.54,48.22,30.66,29.44,43.25,38.66,26.19,40.54,45.87,34.13,25.82,31.48,50.34,46.6,23.51,36.46,50.92,36.91,26.07,34.63,44.88,42.28,24.47,34.69,48.65,35.07,20.94,31.43,47.89,43.57,27.9,36.12,46.57,41.47,27.61,33.06,51.13,53.05,32.78,35.9,44.65,42.08,28.55,35.67,45.91,39.91,32.03,36.31,51.73,41.0,27.98,37.96,51.09,36.72,25.06,30.2,47.33,51.15,26.28,45.83,48.13,44.18,24.78,34.33,47.74,42.42,31.59,41.68,49.95,41.91,26.01,35.4,52.93,41.41,21.3,30.79,45.88,41.31,32.62,34.12,48.71,41.1,27.22,37.9,47.72,49.59,27.95,31.45,42.13,46.14,29.91,33.74,43.9,47.93,28.8,35.6,48.1,39.54,21.07,32.46,48.78,41.66,25.09,38.67,45.56,38.69,26.94,32.91
NPL,13.0,14.51,22.92,18.26,15.53,18.1,36.93,16.27,14.76,16.65,40.47,13.65,10.16,21.36,32.8,20.85,13.98,18.07,39.89,19.36,12.36,17.0,40.13,17.26,12.09,17.62,23.09,19.51,12.68,17.27,39.44,19.69,13.92,16.24,33.68,25.56,10.14,18.59,46.9,20.72,14.5,14.7,34.17,19.63,14.12,18.63,29.69,18.98,13.12,19.13,43.3,22.59,16.02,24.4,34.36,14.59,11.83,24.49,40.43,20.6,14.43,15.15,37.39,10.24,10.43,21.52,34.08,19.09,11.05,18.07,33.26,24.71,10.98,18.42,27.21,16.33,11.98,14.67,38.12,18.72,11.91,16.39,34.56,21.14,12.05,19.62,38.5,22.75,10.17,16.65,35.45,19.12,9.15,18.47,30.88,31.36,10.7,18.24,33.42,20.04,10.35,22.81,36.29,21.56,10.03,17.06,38.73,12.97,10.74,17.45,40.15,15.62,12.11,17.75,35.06,21.25,11.65,21.12,35.76,16.23,10.78,24.76,39.66,20.84,12.64,15.91,30.8,18.36,9.35,17.6,51.38,16.08,12.36,17.54,33.34,19.27,11.1,17.13,40.93,19.26,13.29,20.52,34.78,24.44,12.15,19.2,34.68,22.73,10.86,16.69,43.8,20.24,12.34,22.47,37.96,16.35,10.48,17.01,37.58,22.64,8.96,14.78,36.26,13.81,9.66,14.8,37.46,17.08,11.51,21.39,25.67,20.55,12.18,19.2,36.37,18.19,13.65,19.57,47.88,22.01,10.97,22.55,29.42,28.86,12.72,23.74,29.69,16.05,10.64,16.86,35.26,19.27,13.78,17.24,35.08,17.59,10.93,28.53,42.23,25.95,14.33,18.76,43.59,16.66,10.55,24.09,36.64,19.83,11.48,18.01,38.03,21.47,13.39,20.78,44.36,21.55,13.09,15.06,36.9,24.49,10.53,23.92,39.16,26.91,11.76,19.69,25.89,23.01,12.56,16.27,34.41,19.38,11.79,10.89,35.97,22.64,10.67,16.81,42.13,16.55,10.23,19.08,32.45,19.72,13.56,21.41,40.86,16.14,10.87,14.56
