,1961.0,1961.0,1961.0,1961.0,1962.0,1962.0,1962.0,1962.0,1963.0,1963.0,1963.0,1963.0,1964.0,1964.0,1964.0,1964.0,1965.0,1965.0,1965.0,1965.0,1966.0,1966.0,1966.0,1966.0,1967.0,1967.0,1967.0,1967.0,1968.0,1968.0,1968.0,1968.0,1969.0,1969.0,1969.0,1969.0,1970.0,1970.0,1970.0,1970.0,1971.0,1971.0,1971.0,1971.0,1972.0,1972.0,1972.0,1972.0,1973.0,1973.0,1973.0,1973.0,1974.0,1974.0,1974.0,1974.0,1975.0,1975.0,1975.0,1975.0,1976.0,1976.0,1976.0,1976.0,1977.0,1977.0,1977.0,1977.0,1978.0,1978.0,1978.0,1978.0,1979.0,1979.0,1979.0,1979.0,1980.0,1980.0,1980.0,1980.0,1981.0,1981.0,1981.0,1981.0,1982.0,1982.0,1982.0,1982.0,1983.0,1983.0,1983.0,1983.0,1984.0,1984.0,1984.0,1984.0,1985.0,1985.0,1985.0,1985.0,1986.0,1986.0,1986.0,1986.0,1987.0,1987.0,1987.0,1987.0,1988.0,1988.0,1988.0,1988.0,1989.0,1989.0,1989.0,1989.0,1990.0,1990.0,1990.0,1990.0,1991.0,1991.0,1991.0,1991.0,1992.0,1992.0,1992.0,1992.0,1993.0,1993.0,1993.0,1993.0,1994.0,1994.0,1994.0,1994.0,1995.0,1995.0,1995.0,1995.0,1996.0,1996.0,1996.0,1996.0,1997.0,1997.0,1997.0,1997.0,1998.0,1998.0,1998.0,1998.0,1999.0,1999.0,1999.0,1999.0,2000.0,2000.0,2000.0,2000.0,2001.0,2001.0,2001.0,2001.0,2002.0,2002.0,2002.0,2002.0,2003.0,2003.0,2003.0,2003.0,2004.0,2004.0,2004.0,2004.0,2005.0,2005.0,2005.0,2005.0,2006.0,2006.0,2006.0,2006.0,2007.0,2007.0,2007.0,2007.0,2008.0,2008.0,2008.0,2008.0,2009.0,2009.0,2009.0,2009.0,2010.0,2010.0,2010.0,2010.0,2011.0,2011.0,2011.0,2011.0,2012.0,2012.0,2012.0,2012.0,2013.0,2013.0,2013.0,2013.0,2014.0,2014.0,2014.0,2014.0,2015.0,2015.0,2015.0,2015.0,2016.0,2016.0,2016.0,2016.0,2017.0,2017.0,2017.0,2017.0,2018.0,2018.0,2018.0,2018.0,2019.0,2019.0,2019.0,2019.0,2020.0,2020.0,2020.0,2020.0,2021.0,2021.0,2021.0,2021.0,2022.0,2022.0,2022.0,2022.0,2023.0,2023.0
,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0
ALA,7266.74,7091.37,7108.44,7170.04,7129.37,7027.26,7068.63,7241.41,7175.67,7048.7,7087.15,7282.74,7217.82,7015.22,7098.58,7185.09,7154.5,7015.23,7047.68,7174.41,7153.82,7063.44,7072.57,7202.0,7209.56,6958.59,7056.96,7237.56,7149.93,7064.44,7071.03,7274.53,7137.51,7055.48,7060.35,7220.8,7270.71,7073.3,7090.37,7123.35,7070.95,7056.87,7050.96,7125.55,7030.81,7009.08,7046.36,7106.36,7115.77,7034.82,7025.62,7083.65,7113.33,7035.54,7007.92,7129.48,7155.19,6988.78,7001.37,7106.12,7109.97,7038.07,7056.4,7154.96,7193.95,7013.1,7026.46,7169.9,7140.81,7016.95,6962.89,7114.03,7056.33,6951.1,6960.39,7145.9,7121.8,7015.55,6943.92,7133.33,7134.05,6998.83,6973.57,7143.16,7033.23,6949.56,6920.56,7086.74,7244.17,7015.93,7046.67,7147.3,7059.82,7041.93,7001.26,7124.78,7036.96,6942.89,6919.26,6940.7,7113.56,6986.63,6941.85,7009.24,7194.83,7024.39,6963.67,7131.48,7131.52,7020.0,6991.56,7101.89,6929.72,6893.37,6908.3,7016.04,7022.89,6882.7,6933.11,7027.15,6941.67,6890.0,6918.19,7054.3,7217.15,6967.83,6915.67,7051.43,6998.3,6999.74,6905.04,6940.76,7021.57,6924.15,6883.35,7030.52,7033.83,6864.65,6883.47,7020.09,6972.99,6829.19,6869.46,6952.58,6990.66,6843.67,6923.93,7073.93,7209.93,6872.33,6817.0,6968.74,6976.22,6854.07,6836.19,7001.19,6959.19,6883.52,6827.44,6947.15,6975.7,6848.37,6837.19,7016.59,6982.56,6685.85,6825.3,6973.22,7061.96,6837.82,6825.22,6945.26,7031.22,6809.63,6802.74,6922.63,6884.67,6862.26,6829.85,7003.48,7013.81,6840.04,6826.67,6880.04,6948.48,6794.3,6804.52,6925.07,6914.72,6756.82,6834.41,6935.67,6797.22,6690.78,6751.63,6970.41,6980.63,6845.37,6725.0,6892.43,6842.17,6766.39,6752.07,6921.56,6872.35,6806.96,6754.78,6828.85,6847.17,6644.89,6703.15,6827.52,6770.96,6744.19,6763.41,6914.56,6906.33,6755.37,6752.67,6896.04,7030.45,6792.48,6715.67,6890.0,6782.7,6718.48,6734.74,6790.11,6752.82,6651.37,6678.0,6777.37,6800.78,6671.85,6651.11,6767.89,6856.89,6616.33,6733.37,6773.52,6878.78,6626.7,6701.63,6891.78,6757.52,6694.41,6717.85,6780.37,6761.41,6694.41
No data for CAR region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEA,6917.55,7032.2,7003.99,7035.99,6921.56,7003.91,7027.29,7050.86,6895.42,6956.27,6999.53,7016.06,6897.21,6945.74,6998.65,7022.2,6927.61,6969.49,7000.55,7006.64,6934.36,6979.48,7013.74,7013.51,6926.1,7016.89,7040.58,7012.28,6940.34,6980.46,7049.05,7036.7,6920.49,6989.56,7071.2,7084.99,6976.17,7010.17,7060.31,7091.06,6999.82,7031.74,7049.49,7114.17,6962.5,7063.0,7090.57,7111.81,7034.28,7080.78,7076.9,7041.62,6995.67,6991.97,7066.12,7021.84,6979.3,7001.08,7068.08,7092.14,6967.81,6983.99,7045.05,7019.9,6854.51,6956.27,7035.06,7080.96,7015.54,7037.01,7055.53,7085.59,6972.54,7002.36,7055.36,7040.87,6940.98,7012.36,7032.34,7007.1,6880.79,6991.3,7060.33,7059.96,6940.14,6959.76,7083.86,7064.39,7030.68,7106.68,7102.53,7128.82,7007.55,7100.86,7093.42,7098.0,6967.74,7011.02,7076.36,7105.58,6984.82,7051.17,7080.19,7068.92,7010.0,7097.52,7096.48,7058.17,6989.58,7048.93,7057.97,7036.65,6944.96,6996.24,7085.94,7057.3,6919.94,6988.48,7082.16,7065.55,6986.51,7066.34,7099.12,7085.58,7019.52,7056.79,7112.85,7080.56,7041.34,7104.77,7115.32,7079.41,7002.24,7049.23,7072.8,7074.74,6982.05,7044.46,7107.53,7119.93,7055.23,7079.61,7128.07,7206.09,7094.56,7108.05,7142.89,7150.14,7155.28,7163.98,7154.15,7110.88,7049.34,7092.62,7129.24,7100.88,6975.03,7099.81,7136.13,7120.15,6983.11,7080.69,7116.64,7112.43,7020.44,7008.37,7114.35,7137.64,6987.06,7108.38,7146.19,7149.32,7005.97,7064.31,7137.21,7191.12,7100.86,7186.46,7184.38,7159.33,7055.24,7116.38,7160.77,7206.67,6982.55,7059.8,7167.46,7138.29,7034.58,7140.59,7152.71,7162.96,7017.4,7102.7,7225.77,7241.53,7138.83,7211.91,7207.21,7215.77,7104.66,7186.94,7245.82,7227.12,7072.24,7144.85,7232.09,7202.56,7098.73,7150.82,7204.72,7176.0,7048.32,7147.19,7208.1,7200.68,7059.52,7052.26,7202.39,7200.2,7122.12,7152.54,7188.18,7214.53,7094.12,7158.3,7235.13,7230.97,7027.7,7194.29,7246.17,7257.27,7147.5,7196.33,7264.14,7285.32,7147.21,7208.52,7255.3,7217.41,7181.15,7140.67,7232.14,7285.15,7103.42,7173.73,7228.64,7243.86,7126.67,7173.73
CWP,7126.53,7040.13,6948.0,6940.8,7013.27,6973.47,6909.27,7020.78,7025.89,7007.47,6937.0,7057.46,7052.38,6915.47,6945.4,6982.0,7124.93,6970.0,6948.53,7051.4,7146.6,6975.07,6921.87,7000.67,7122.93,7016.07,6951.33,7010.27,7119.4,6960.0,6961.47,7055.6,7249.6,7035.87,6945.2,7016.53,7166.13,6905.67,6904.27,6995.27,7093.13,7008.4,6968.93,6981.93,7119.13,7048.73,6991.93,7018.2,7150.07,6909.2,6877.87,7002.8,7152.0,7040.67,6954.93,6940.33,7073.93,6946.27,6895.67,7009.8,7057.8,6968.2,6960.57,6983.07,7026.13,6903.07,6907.33,7040.0,7223.77,6976.83,6917.13,6955.53,7036.6,6964.6,6897.87,7023.73,7157.07,6982.4,6920.4,6982.8,7132.67,6975.27,6928.2,7055.33,7139.53,7044.33,6971.33,7117.07,7344.07,7132.67,7035.53,7111.0,7084.87,7032.13,6946.53,7108.4,7002.2,6931.8,6924.53,6984.8,7119.87,7006.53,6937.4,6987.87,7133.07,7018.8,6938.13,6977.93,7056.93,6968.07,6915.07,6988.2,6955.27,7011.2,6926.67,6969.4,7049.53,6956.8,6978.8,7012.73,7057.93,6991.47,6932.27,6976.53,7195.53,7052.67,6953.73,7007.33,7127.07,7095.8,6975.4,6942.87,7100.33,6977.13,6931.73,7008.93,7219.73,7042.47,6961.67,7016.27,7217.27,7027.73,6923.2,6993.87,7158.73,7043.6,7054.73,7194.0,7343.27,7032.6,6950.47,7038.0,7160.47,6996.4,6944.67,6976.0,7113.07,6978.47,6931.67,6956.8,7014.8,6919.2,6897.67,6996.27,7113.53,6926.67,6920.67,6977.07,7172.0,7053.13,6938.4,7018.33,7191.2,6977.53,6964.27,7009.6,7095.6,7069.2,6961.2,6990.2,7143.93,7086.8,6958.6,7024.27,7084.87,6947.33,6955.47,6973.4,7106.4,6917.13,6972.8,6978.07,7029.2,6950.27,6964.53,7048.73,7213.8,7049.93,6928.47,7009.13,7131.47,7097.47,6977.53,7018.0,7017.0,7090.07,6985.87,7050.47,7079.53,6935.53,6958.6,7007.6,6998.73,7077.6,6984.0,7126.13,7185.87,7007.4,7014.73,7096.93,7274.93,7072.0,6948.67,7154.27,7185.67,7127.47,6993.07,7059.67,7067.6,7044.87,6967.67,7016.8,7175.47,7028.6,6954.47,7009.27,7149.0,7001.8,6980.2,7030.4,7121.33,6945.07,6986.53,7074.0,7101.53,7012.6,7031.6,7014.07,7085.53,7012.6
No data for MID region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEA,7004.67,6961.67,6901.67,6921.67,6951.67,6935.0,6908.33,6958.33,6955.0,6858.33,6905.0,6968.33,6975.0,6825.0,6891.67,6958.33,6955.0,6901.67,6908.33,6961.67,7028.33,6915.0,6945.0,6935.0,6971.67,6925.0,6908.33,6968.33,7011.67,6888.33,6948.33,7001.67,7031.67,6965.0,6968.33,6995.0,7045.0,6961.67,6960.0,6998.67,7081.67,7005.0,6951.67,7005.0,6981.67,6948.33,6975.0,6995.0,7051.67,6928.33,6945.0,7025.0,6981.67,6941.67,6921.67,6955.0,7008.33,6985.0,6942.78,7023.33,6960.67,6958.33,6973.89,7078.33,7020.0,7005.0,6990.0,7016.67,7078.33,6995.0,6971.67,7003.33,7050.0,6878.33,6978.33,6961.67,7021.67,6908.33,6988.33,7041.67,6958.33,7005.0,7015.0,7091.67,7023.33,7005.0,7020.0,7031.67,7001.67,6971.67,7025.0,7081.67,7041.67,6978.33,6981.67,7045.0,7058.33,6955.0,6958.33,7011.67,7011.67,6918.33,6991.67,7018.33,7038.33,6918.33,6991.67,6998.33,7058.33,6998.33,6998.33,7041.67,7048.33,6868.67,6968.33,6998.33,7035.0,6885.0,6998.33,7051.67,7015.0,7005.0,7045.0,7028.33,7105.0,6975.0,7015.0,7001.67,6990.0,6995.0,7031.67,7025.0,7005.0,6978.33,6998.33,7078.33,7001.67,6935.0,7015.0,7070.0,7098.33,7058.33,7031.67,7125.0,7095.0,7098.33,7038.33,7115.0,7128.33,7048.33,7045.0,7111.67,7038.33,7048.33,7045.0,7061.67,7068.33,7028.33,7038.33,7091.67,7111.67,7028.33,7048.33,7068.33,7115.0,6988.33,7038.33,7111.67,7128.33,6991.67,7051.67,7075.0,7178.33,6995.0,6995.0,6935.0,7021.67,7068.33,7045.0,6968.33,7128.33,7055.0,6981.67,7068.33,7028.33,7021.67,7068.33,7105.0,7085.0,7040.0,7081.67,7088.33,7156.67,7068.33,7098.33,7108.33,7235.0,7121.67,7118.33,7185.0,7248.33,7068.33,7125.0,7138.33,7105.0,7068.33,7098.33,7108.33,7161.67,7065.0,7125.0,7111.11,7108.33,7048.33,7081.67,7113.89,7131.67,7078.33,7058.33,7095.0,7138.33,7078.33,7105.0,7148.33,7181.67,7095.0,7115.0,7141.67,7105.0,7108.33,7125.0,7185.0,7201.67,7101.67,7155.0,7215.0,7213.33,7148.33,7148.33,7128.33,7221.67,7161.67,7121.67,7151.67,7208.33,7161.67,7121.67,7151.67,7208.33,7161.67
NEF,6746.57,7164.87,6914.8,6763.13,6715.8,7080.36,6743.8,6727.13,6626.23,6976.25,6692.6,6757.07,6733.07,6878.47,6655.33,6551.93,6638.6,6754.6,6607.87,6871.47,6827.13,7011.3,6730.23,6722.03,6890.93,7085.6,6806.87,6901.2,6969.2,7118.83,6776.5,6826.17,6913.8,7253.73,6984.27,6873.07,6850.13,7188.07,6895.2,6902.27,6958.53,7347.73,6769.6,6768.8,6700.6,7345.93,7218.33,7060.87,7076.8,7614.27,7168.8,6920.33,6913.47,7534.8,7195.53,6908.4,6961.33,7311.67,6905.33,6849.73,6935.2,7512.14,7127.2,6955.53,6807.07,7262.62,6833.2,6979.53,7020.71,7294.14,6868.2,6744.87,6856.63,7315.24,6870.4,6916.93,6884.45,7147.87,6891.33,6958.02,6867.19,7266.35,6970.14,7023.71,6844.89,7120.98,6813.02,6759.2,6922.27,7485.73,6928.27,6860.2,6898.4,7370.77,7001.17,6798.94,6852.53,7227.07,6930.07,6826.96,6807.67,7267.47,7003.2,6922.63,6863.27,7125.13,6804.8,6724.73,6837.87,7049.2,6708.53,6866.0,6677.0,6912.9,6788.47,6721.33,6816.33,7126.8,6820.6,6849.73,6915.33,7341.47,6714.6,6738.6,6803.9,7008.33,6807.27,6860.53,6917.6,7302.33,6994.33,6845.0,6794.0,7151.0,6968.33,6764.33,6899.67,7046.33,6693.67,6770.33,6943.67,7262.33,7045.0,6945.0,6958.13,7434.93,6998.8,6883.4,6976.53,7418.33,6945.0,6741.67,6649.0,6991.67,6666.33,6743.67,6742.33,7161.67,6864.33,6702.33,6613.67,6966.33,6615.0,6648.33,6747.0,7065.33,6885.67,6588.33,6495.67,6813.0,6760.33,6777.67,6937.0,7105.67,6867.67,6773.67,6722.33,7234.33,6716.33,6813.67,6923.0,7185.0,6786.33,6987.67,6891.0,7096.33,6723.67,6578.33,6767.67,7257.0,7101.67,6785.0,6863.4,7232.27,7012.93,6751.27,6869.6,6956.93,6623.6,6867.6,6944.27,7334.6,7024.93,6813.6,6773.6,7095.6,6674.93,6644.93,6738.93,7155.6,6907.6,6744.93,6770.27,7207.6,6925.6,6852.93,6802.27,6880.93,6854.93,6746.93,6871.6,7286.93,6826.27,6734.93,6837.6,7520.27,7129.6,6906.93,6887.6,7330.93,6888.27,6906.93,6978.93,7403.6,7098.27,6950.93,6969.6,7340.27,6935.93,6836.93,6924.27,6999.6,6731.6,6833.6,6902.27,6999.6,6731.6,6833.6,6902.27,6999.6
NPL,7395.0,7316.67,7428.33,7371.67,7340.0,7243.33,7410.0,7363.33,7378.33,7236.67,7336.67,7490.0,7433.33,7263.33,7340.0,7513.33,7330.0,7276.67,7383.33,7483.33,7355.0,7330.0,7346.67,7353.33,7353.33,7250.0,7350.0,7443.33,7361.67,7290.0,7373.33,7463.33,7310.0,7323.33,7370.0,7453.33,7383.33,7233.33,7330.0,7390.0,7396.67,7273.33,7353.33,7360.0,7353.33,7203.33,7363.33,7306.67,7166.67,7256.67,7310.0,7490.0,7270.0,7226.67,7333.33,7393.33,7266.67,7176.67,7366.67,7346.67,7196.67,7116.67,7183.33,7316.67,7193.33,7143.33,7243.33,7220.0,7080.0,6966.67,7176.67,7210.0,7188.89,6965.0,7170.0,7216.11,7111.11,6990.0,7180.0,7232.22,7113.33,7036.67,7083.33,7066.67,7026.67,7010.0,7150.0,7156.67,7068.33,6920.0,7151.33,7246.67,7126.67,6932.5,7127.67,7185.56,7186.67,6945.0,7104.0,7155.56,7143.33,6910.83,7100.33,7102.22,6936.67,6833.33,6986.67,7030.0,6993.33,7000.0,7050.0,7136.67,7016.67,6918.33,7035.0,7148.33,7040.0,6816.67,6980.0,7196.67,7090.0,7126.67,7038.33,7150.0,6976.67,6850.0,7003.33,7053.33,6910.0,6813.33,6990.0,7126.67,6910.0,6863.33,6980.0,7133.33,6896.67,6783.33,7020.0,7120.0,6963.33,6866.67,7006.67,7033.33,6926.67,6826.67,7003.33,7193.33,6960.0,6926.67,7010.0,7013.33,6963.33,6810.0,6993.33,7076.67,6936.67,6860.0,6993.33,7043.33,6906.67,6813.33,6993.33,7023.33,6936.67,6810.0,6943.33,7093.33,6986.67,6823.33,6933.33,7086.67,6893.33,6783.33,6920.0,6990.0,6776.67,6810.0,6946.67,7086.67,6966.67,6856.67,6963.33,7076.67,6973.33,6746.67,6973.33,7016.67,6843.33,6790.0,6916.67,6993.33,6913.33,6750.0,6986.67,7040.0,6933.33,6856.67,6973.33,7120.0,6940.0,6680.0,6940.0,7040.0,6830.0,6780.0,6976.67,7016.67,6903.33,6736.67,6890.0,7036.67,6896.67,6686.67,6906.67,7060.0,6776.67,6686.67,6901.67,6996.67,6845.0,6666.67,6876.67,6933.33,6913.33,6843.33,6990.0,7046.67,6830.0,6696.67,6836.67,6943.33,6816.67,6776.67,6926.67,7016.67,6830.0,6776.67,6986.67,7120.0,6943.33,6810.0,6983.33,7026.67,6950.0,6810.0,6983.33,7026.67,6950.0,6810.0
