,1961.0,1961.0,1961.0,1961.0,1962.0,1962.0,1962.0,1962.0,1963.0,1963.0,1963.0,1963.0,1964.0,1964.0,1964.0,1964.0,1965.0,1965.0,1965.0,1965.0,1966.0,1966.0,1966.0,1966.0,1967.0,1967.0,1967.0,1967.0,1968.0,1968.0,1968.0,1968.0,1969.0,1969.0,1969.0,1969.0,1970.0,1970.0,1970.0,1970.0,1971.0,1971.0,1971.0,1971.0,1972.0,1972.0,1972.0,1972.0,1973.0,1973.0,1973.0,1973.0,1974.0,1974.0,1974.0,1974.0,1975.0,1975.0,1975.0,1975.0,1976.0,1976.0,1976.0,1976.0,1977.0,1977.0,1977.0,1977.0,1978.0,1978.0,1978.0,1978.0,1979.0,1979.0,1979.0,1979.0,1980.0,1980.0,1980.0,1980.0,1981.0,1981.0,1981.0,1981.0,1982.0,1982.0,1982.0,1982.0,1983.0,1983.0,1983.0,1983.0,1984.0,1984.0,1984.0,1984.0,1985.0,1985.0,1985.0,1985.0,1986.0,1986.0,1986.0,1986.0,1987.0,1987.0,1987.0,1987.0,1988.0,1988.0,1988.0,1988.0,1989.0,1989.0,1989.0,1989.0,1990.0,1990.0,1990.0,1990.0,1991.0,1991.0,1991.0,1991.0,1992.0,1992.0,1992.0,1992.0,1993.0,1993.0,1993.0,1993.0,1994.0,1994.0,1994.0,1994.0,1995.0,1995.0,1995.0,1995.0,1996.0,1996.0,1996.0,1996.0,1997.0,1997.0,1997.0,1997.0,1998.0,1998.0,1998.0,1998.0,1999.0,1999.0,1999.0,1999.0,2000.0,2000.0,2000.0,2000.0,2001.0,2001.0,2001.0,2001.0,2002.0,2002.0,2002.0,2002.0,2003.0,2003.0,2003.0,2003.0,2004.0,2004.0,2004.0,2004.0,2005.0,2005.0,2005.0,2005.0,2006.0,2006.0,2006.0,2006.0,2007.0,2007.0,2007.0,2007.0,2008.0,2008.0,2008.0,2008.0,2009.0,2009.0,2009.0,2009.0,2010.0,2010.0,2010.0,2010.0,2011.0,2011.0,2011.0,2011.0,2012.0,2012.0,2012.0,2012.0,2013.0,2013.0,2013.0,2013.0,2014.0,2014.0,2014.0,2014.0,2015.0,2015.0,2015.0,2015.0,2016.0,2016.0,2016.0,2016.0,2017.0,2017.0,2017.0,2017.0,2018.0,2018.0,2018.0,2018.0,2019.0,2019.0,2019.0,2019.0,2020.0,2020.0,2020.0,2020.0,2021.0,2021.0,2021.0,2021.0,2022.0,2022.0,2022.0,2022.0,2023.0,2023.0
,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0
ALA,13.04,6.77,4.76,5.06,8.44,5.86,11.34,7.47,17.59,8.75,6.4,8.77,10.19,2.09,7.19,10.65,2.54,17.84,3.72,11.86,2.57,3.89,7.53,9.23,2.3,8.61,11.05,13.42,15.4,8.56,12.1,3.65,3.03,14.69,9.9,19.64,17.39,13.9,4.0,9.96,6.22,2.36,11.24,4.34,4.5,1.71,11.34,8.64,7.74,6.87,4.44,4.93,4.42,8.38,10.87,12.48,3.25,5.3,7.49,5.02,4.67,5.93,9.3,16.79,21.63,5.0,18.8,7.81,12.94,12.81,10.19,12.74,7.53,13.87,12.47,27.53,11.88,13.26,7.5,12.08,22.45,23.69,8.87,10.88,8.22,5.8,8.11,6.83,9.53,13.79,11.44,8.37,9.69,14.99,9.1,8.26,18.41,3.95,7.21,5.57,22.37,2.92,9.7,14.07,16.89,9.45,10.87,10.2,8.51,16.31,11.83,3.3,11.69,11.39,14.03,11.22,7.96,24.09,18.69,3.93,11.01,9.97,10.73,11.6,3.9,9.37,9.0,6.6,14.34,21.77,18.3,17.33,10.35,16.67,16.47,3.86,7.78,22.85,8.32,16.93,7.48,15.98,8.23,4.84,9.78,15.46,19.18,14.32,5.94,22.84,9.18,9.15,3.71,7.69,14.28,4.32,9.21,6.58,6.72,9.13,16.25,5.81,10.96,6.19,11.1,12.31,9.14,32.35,22.17,14.19,13.68,21.17,6.08,20.99,32.86,12.08,11.75,24.8,17.55,9.06,15.87,7.22,6.66,14.91,9.76,14.86,16.45,15.04,9.2,10.83,4.2,3.4,8.68,10.21,12.72,14.32,14.11,16.97,8.7,18.6,7.27,11.26,7.26,6.59,10.45,9.36,8.03,7.92,8.39,6.45,24.05,21.83,19.11,19.28,10.43,17.16,21.01,27.54,17.38,19.82,20.87,34.29,23.66,17.64,8.64,15.55,17.1,17.09,21.15,11.7,15.22,33.23,16.94,31.93,27.08,26.1,7.37,20.75,12.48,15.83,8.16,11.75,12.73,8.91,11.13,12.38,15.9,13.42,7.31,7.12
CAR,10.12,7.46,13.38,6.2,7.89,6.32,10.66,12.76,14.0,9.11,8.29,14.25,13.11,3.53,6.61,8.85,7.2,13.6,5.77,7.05,5.48,10.91,10.7,10.52,5.94,7.47,8.85,12.37,13.36,13.22,4.35,11.41,7.7,9.51,10.62,12.75,13.59,7.19,4.98,10.03,6.2,10.35,14.14,6.34,2.88,7.53,9.83,3.68,8.15,11.33,7.86,9.96,5.76,3.75,8.33,9.11,7.13,8.04,10.98,7.91,10.63,12.06,8.56,14.7,18.24,16.22,11.27,10.9,10.8,6.16,7.04,9.45,6.98,9.88,10.72,17.91,16.44,17.15,11.03,15.35,21.94,17.89,10.97,13.72,7.89,4.89,12.1,6.99,5.06,7.96,11.51,9.88,11.18,14.79,13.25,7.11,12.08,9.42,9.01,7.76,18.58,9.82,8.56,9.62,18.4,10.7,10.0,15.98,13.46,15.83,10.96,12.5,12.38,10.6,22.12,9.84,8.03,18.57,14.23,5.55,10.86,13.95,13.38,6.55,12.1,12.23,11.88,8.34,10.65,19.03,9.95,9.82,7.13,16.69,19.74,9.23,12.2,18.55,12.59,12.61,8.81,9.02,9.33,6.52,9.38,9.91,13.44,13.87,15.24,24.84,18.74,20.58,11.64,16.13,14.72,9.93,15.06,12.1,11.16,9.1,14.52,11.93,15.06,12.64,13.46,5.0,10.72,17.63,17.33,13.16,12.41,18.01,9.63,9.05,18.22,9.22,10.17,20.03,8.5,14.85,21.29,15.0,15.22,14.96,16.12,11.15,12.39,6.57,7.22,10.64,11.5,9.76,8.87,6.0,17.08,13.38,17.56,27.89,16.45,20.97,13.9,9.32,11.23,12.51,16.65,11.77,16.63,14.01,7.97,11.64,21.34,16.99,9.99,8.5,13.87,11.68,16.05,19.97,15.45,14.76,18.61,25.03,19.92,18.18,13.96,12.51,14.1,12.59,16.21,12.37,15.09,13.72,14.89,21.96,17.53,19.66,8.45,13.47,8.21,10.47,15.85,12.83,17.51,18.37,10.73,8.61,19.15,17.46,8.97,12.29
CEA,8.26,6.15,6.1,22.37,7.07,11.78,4.79,5.53,5.96,7.15,10.5,15.54,7.05,12.11,8.74,8.34,12.08,8.43,8.0,8.46,10.99,6.47,11.14,8.34,13.23,6.77,7.24,6.98,7.61,10.95,10.73,10.0,5.83,8.8,9.97,8.33,5.69,7.91,10.54,15.69,7.15,4.01,7.02,17.04,14.58,5.34,7.41,5.02,13.63,13.77,15.06,13.01,14.68,12.08,6.28,6.8,10.98,7.2,11.19,12.45,13.39,14.68,9.14,4.74,3.69,19.57,9.25,9.48,4.12,5.67,8.9,6.34,6.51,13.4,8.88,13.81,9.53,7.31,10.04,5.61,13.14,12.55,7.48,4.0,4.21,7.14,4.11,12.97,17.84,10.22,14.94,12.76,14.61,4.14,11.61,10.86,12.97,13.23,3.85,12.49,7.74,15.29,6.48,7.62,6.27,15.9,15.15,7.5,9.61,9.5,23.44,5.22,11.42,8.03,9.91,11.8,17.1,14.16,7.85,13.21,16.93,19.46,13.89,13.46,11.94,8.8,3.78,7.35,9.04,8.3,12.4,7.07,6.82,6.61,12.02,10.28,14.56,7.47,17.41,7.2,10.32,6.96,5.69,5.14,15.86,4.1,7.86,5.66,16.17,17.03,9.07,11.07,19.0,10.19,18.58,15.6,16.42,14.94,5.4,7.47,5.92,10.31,12.96,14.63,21.23,13.34,19.19,11.81,5.18,8.11,10.12,10.63,7.94,14.95,6.23,7.7,14.08,4.89,21.47,16.18,16.21,12.04,13.58,10.33,18.81,11.91,12.52,16.96,12.94,7.49,8.25,9.56,9.43,10.94,6.79,8.76,6.38,21.7,18.51,12.4,7.13,12.67,13.42,17.7,17.03,25.23,14.4,9.69,14.95,10.97,14.35,9.74,9.06,7.21,7.72,10.62,7.1,12.64,8.95,16.16,26.4,15.38,17.32,15.51,20.62,13.37,8.38,18.81,14.75,10.84,17.74,15.07,12.73,9.07,11.46,8.79,17.91,11.58,18.82,15.05,9.25,17.79,21.44,14.36,15.44,15.37,15.18,11.71,23.68,11.49
CWP,13.28,7.94,20.02,5.97,10.13,7.87,4.45,11.87,18.95,7.76,4.82,18.26,4.98,3.49,4.97,7.01,10.17,7.0,7.03,11.55,6.57,14.7,5.76,13.08,12.19,5.31,14.2,14.86,13.39,9.51,9.17,6.98,4.52,10.66,10.41,8.45,13.58,5.4,15.15,6.67,10.37,5.46,11.36,5.19,6.21,14.2,10.42,4.51,9.5,8.72,9.32,9.62,9.81,6.34,11.21,11.4,5.95,2.66,8.18,8.47,9.81,6.04,4.75,11.68,10.13,9.1,13.32,7.93,12.44,11.75,9.02,7.34,2.34,9.74,9.63,12.53,12.26,10.13,3.4,11.46,21.67,11.05,9.71,11.76,9.67,4.46,8.25,5.8,12.37,11.73,6.75,8.56,8.3,7.97,6.74,5.42,2.13,12.14,13.04,3.71,12.79,18.11,13.21,7.6,7.6,21.86,10.8,15.43,9.48,14.32,13.48,15.54,5.62,14.15,7.78,11.12,10.58,15.25,13.8,15.06,11.24,5.07,8.96,12.74,14.19,24.27,15.11,9.54,3.04,13.56,3.54,7.07,10.59,18.42,11.09,7.84,17.87,8.98,6.85,17.99,16.3,11.05,13.04,8.31,9.62,13.54,7.27,11.12,10.78,11.76,13.28,14.32,10.79,6.79,8.53,15.07,8.8,10.73,8.98,7.03,4.07,13.52,10.39,12.87,7.0,6.72,13.39,10.21,15.87,11.96,18.02,16.84,5.2,17.61,13.85,7.06,13.0,14.37,8.56,7.24,14.07,10.4,16.66,10.02,9.27,15.52,16.99,8.77,4.21,6.78,10.68,12.96,7.89,9.39,12.98,11.83,8.83,6.21,6.96,12.65,9.09,3.26,6.44,13.43,8.89,13.88,12.4,13.34,5.78,14.04,15.93,11.3,9.15,11.86,14.86,19.64,23.23,18.38,24.47,15.34,12.45,20.01,14.22,16.18,5.31,13.02,16.99,13.98,12.98,13.29,13.23,9.14,7.14,10.68,10.66,9.37,11.0,11.33,13.53,16.25,9.44,9.75,29.28,14.19,8.85,8.34,22.25,16.22,6.65,12.19
MID,11.98,5.2,6.7,11.87,8.05,12.75,4.34,10.66,9.42,12.38,10.69,20.38,11.41,11.84,12.47,12.5,10.77,10.01,5.65,8.85,13.81,7.91,11.17,8.11,10.73,11.74,3.46,5.89,10.58,11.88,12.23,8.98,5.71,7.95,7.03,6.64,4.18,9.12,11.98,10.25,7.49,4.99,8.73,18.85,10.26,7.93,8.21,5.29,12.67,10.05,10.04,15.07,10.95,10.62,7.72,7.33,7.8,6.51,10.22,13.82,15.3,11.11,9.91,5.07,5.87,24.28,10.25,7.07,4.21,7.04,7.78,11.8,1.67,6.59,4.59,8.69,11.38,8.19,14.56,7.41,15.88,9.92,5.76,7.0,3.62,7.31,3.62,8.92,16.95,6.47,20.14,11.71,10.75,2.35,9.1,11.49,10.7,13.88,3.46,9.84,9.91,14.32,7.8,9.78,13.94,18.75,17.43,8.08,8.58,11.33,28.53,6.06,12.39,7.81,7.98,10.22,15.73,12.34,8.51,14.62,12.02,19.91,13.02,10.49,16.54,11.29,2.74,4.98,7.39,4.63,7.79,3.16,7.88,7.95,7.19,10.04,11.64,8.07,16.96,4.51,11.3,5.39,5.32,3.04,10.12,4.33,5.88,9.05,17.87,11.91,8.18,16.49,19.44,7.75,13.29,12.92,17.55,13.65,6.62,11.55,5.23,10.34,11.27,12.54,20.92,7.87,14.3,8.28,9.83,9.78,7.99,9.54,9.09,11.78,3.16,10.8,14.45,8.81,13.71,14.89,18.35,12.61,11.94,9.26,16.99,16.04,12.57,14.58,8.63,3.18,4.25,8.76,8.72,7.77,5.07,9.04,3.19,16.25,13.87,10.09,5.7,9.14,15.55,10.87,17.22,26.65,19.0,7.9,12.48,5.3,8.82,8.54,5.07,5.44,5.9,5.03,10.17,9.73,5.02,16.17,19.76,11.54,11.9,18.68,20.48,10.2,6.0,15.33,12.16,10.94,10.86,10.76,11.36,5.23,5.56,10.34,14.51,7.22,11.91,11.45,8.01,14.97,14.86,13.65,12.58,11.27,10.53,10.87,15.88,8.54
NEA,4.89,6.89,8.83,20.98,8.23,10.51,6.68,6.93,13.3,6.3,8.36,14.28,6.8,8.75,5.37,5.78,9.99,6.82,5.68,6.14,14.03,9.73,5.73,13.56,8.93,2.71,17.17,15.75,8.76,12.23,4.14,14.29,15.94,5.87,8.49,13.01,13.75,5.88,16.26,12.69,8.14,9.74,7.47,13.31,8.79,5.24,7.62,5.52,7.69,11.52,18.17,7.31,11.86,5.62,8.08,5.4,8.89,5.21,15.12,10.46,8.76,12.97,14.87,6.5,5.91,13.25,9.98,12.1,8.81,5.47,9.37,4.7,14.6,22.08,14.22,12.29,9.93,9.09,8.3,5.02,17.52,15.41,8.85,10.86,9.9,7.7,6.4,12.38,14.23,17.79,10.66,12.22,15.61,9.59,14.5,9.28,9.82,7.09,8.08,9.74,8.32,16.87,4.05,2.84,5.53,18.67,9.57,10.76,9.11,12.61,11.96,7.82,6.13,12.45,11.95,12.67,9.49,10.73,14.8,11.21,11.29,10.83,10.79,11.39,7.65,7.98,5.17,9.84,6.7,11.43,7.76,6.73,9.93,7.47,11.7,14.94,9.59,7.39,14.31,11.55,15.89,8.98,11.87,9.53,14.95,3.5,7.85,10.17,14.4,19.19,12.53,8.11,14.29,20.97,18.82,19.47,14.89,13.28,10.86,11.23,6.24,12.93,16.63,19.18,13.49,8.53,12.58,12.09,6.38,9.66,14.25,23.74,10.55,9.19,12.16,11.86,10.8,12.52,15.52,19.77,15.32,21.48,15.64,16.89,15.53,8.79,13.71,13.76,10.38,11.34,16.15,17.61,9.31,11.7,13.19,14.0,23.07,22.81,15.97,16.42,21.36,11.4,11.65,21.21,13.1,21.74,22.84,21.54,13.81,16.64,12.92,14.83,8.7,7.32,20.88,14.73,8.07,8.59,12.85,16.74,20.02,14.31,12.44,16.06,12.5,8.68,10.17,20.98,9.93,9.85,18.61,8.74,8.45,5.33,9.36,12.15,10.56,10.02,20.66,17.43,17.9,17.86,20.92,20.35,12.5,12.12,16.6,25.0,18.68,10.02
NEF,8.95,6.54,7.6,17.69,7.15,10.26,5.94,9.32,10.48,7.32,12.19,18.89,10.68,12.69,8.94,8.59,9.33,7.68,5.73,6.58,13.26,8.1,9.94,9.98,9.15,5.32,8.51,9.79,10.47,13.5,7.7,14.85,10.47,6.97,9.89,10.44,7.68,6.31,15.41,12.85,6.97,5.47,7.89,15.87,8.93,6.13,7.32,3.63,11.02,13.51,15.05,13.15,9.84,6.97,9.21,6.59,10.85,6.84,14.44,12.54,10.38,11.34,14.57,6.21,5.74,22.1,7.1,10.81,5.89,6.32,7.8,7.41,6.84,12.21,8.84,11.54,12.05,11.13,8.64,3.91,16.78,12.62,8.31,9.02,5.83,8.23,4.93,12.12,17.54,9.27,18.11,12.85,14.34,6.77,11.78,11.29,10.66,11.14,4.39,9.81,7.93,16.79,5.05,5.27,13.43,21.0,14.53,9.27,10.41,12.85,21.22,7.24,9.22,8.16,11.6,11.42,13.25,13.93,10.38,10.39,13.56,16.75,14.18,9.62,13.02,9.42,3.72,7.03,8.34,9.45,9.63,3.69,7.92,6.54,7.65,15.43,13.6,7.76,18.59,7.57,10.6,4.68,9.03,7.49,12.47,3.96,8.52,9.37,18.47,17.82,11.08,12.79,17.95,14.87,16.1,15.26,17.51,15.08,5.35,10.89,6.25,12.35,15.04,16.12,20.51,8.1,15.53,11.7,9.55,9.2,11.81,14.93,10.65,9.33,4.87,13.49,11.79,10.13,20.02,17.63,16.69,16.89,12.81,11.99,18.96,12.98,13.66,15.26,11.15,7.48,8.65,13.02,7.97,8.62,7.57,15.37,12.57,23.37,15.11,13.35,12.63,8.61,12.54,19.27,17.05,23.45,17.45,12.77,13.88,10.65,12.37,12.32,6.61,5.34,10.02,10.08,9.26,11.35,8.43,20.05,24.14,13.96,13.7,18.9,19.14,9.55,6.74,18.79,12.29,9.15,15.4,9.51,10.56,4.86,8.75,8.92,15.13,9.29,16.88,13.45,13.67,18.89,20.79,17.13,11.26,12.11,11.16,17.03,19.3,10.63
NPL,13.22,9.29,22.06,7.9,8.99,4.07,5.32,15.11,14.03,9.16,9.62,22.42,12.95,6.5,7.43,7.92,5.02,5.09,9.22,5.77,6.03,9.91,7.5,8.97,8.86,3.63,10.12,15.25,12.79,12.32,4.77,10.26,2.12,8.77,7.75,10.36,8.24,3.73,15.05,6.99,5.53,7.19,11.09,7.48,2.69,10.99,9.98,3.27,10.99,11.32,9.1,7.27,5.77,3.79,8.37,10.13,7.78,3.23,10.73,11.32,15.01,11.1,8.88,10.86,13.05,21.42,6.04,9.15,3.91,8.68,7.13,10.4,1.66,5.28,10.07,12.12,11.25,19.81,6.46,12.42,23.19,12.85,11.16,15.95,5.5,4.76,6.11,8.06,12.61,8.09,15.07,11.23,16.59,12.7,14.9,8.13,7.66,12.93,6.43,3.57,16.23,18.6,7.44,8.39,21.52,20.6,12.65,15.55,13.15,17.41,18.51,10.39,11.07,9.3,14.4,9.89,13.66,14.92,11.38,10.68,15.66,13.19,13.79,7.91,21.02,17.76,6.8,9.17,7.68,14.79,3.82,4.55,7.34,14.46,7.59,11.08,14.36,9.97,10.34,8.84,10.06,5.37,10.55,5.27,5.84,5.75,10.05,13.39,20.04,14.54,13.63,15.32,12.4,10.61,8.23,12.53,16.43,12.53,7.23,8.38,8.98,10.06,11.37,14.94,14.93,3.22,16.27,10.08,14.58,12.62,16.54,12.9,8.65,10.53,7.51,10.08,15.34,15.85,7.93,11.64,23.22,13.42,15.89,9.46,12.59,13.83,15.75,8.56,5.43,5.71,9.53,11.14,7.36,4.59,7.42,20.05,8.41,15.87,7.23,12.1,7.98,4.15,8.54,15.68,18.99,17.45,14.22,9.73,6.47,7.19,11.47,12.61,6.75,5.93,9.7,12.67,17.92,16.41,14.51,15.1,18.35,19.26,8.81,19.66,14.26,11.18,11.24,12.56,10.26,10.51,11.74,5.07,9.56,7.11,6.44,9.17,10.91,6.06,10.28,10.44,14.62,12.25,23.56,15.14,10.2,6.09,14.87,13.96,7.93,11.24
