,1961.0,1961.0,1961.0,1961.0,1962.0,1962.0,1962.0,1962.0,1963.0,1963.0,1963.0,1963.0,1964.0,1964.0,1964.0,1964.0,1965.0,1965.0,1965.0,1965.0,1966.0,1966.0,1966.0,1966.0,1967.0,1967.0,1967.0,1967.0,1968.0,1968.0,1968.0,1968.0,1969.0,1969.0,1969.0,1969.0,1970.0,1970.0,1970.0,1970.0,1971.0,1971.0,1971.0,1971.0,1972.0,1972.0,1972.0,1972.0,1973.0,1973.0,1973.0,1973.0,1974.0,1974.0,1974.0,1974.0,1975.0,1975.0,1975.0,1975.0,1976.0,1976.0,1976.0,1976.0,1977.0,1977.0,1977.0,1977.0,1978.0,1978.0,1978.0,1978.0,1979.0,1979.0,1979.0,1979.0,1980.0,1980.0,1980.0,1980.0,1981.0,1981.0,1981.0,1981.0,1982.0,1982.0,1982.0,1982.0,1983.0,1983.0,1983.0,1983.0,1984.0,1984.0,1984.0,1984.0,1985.0,1985.0,1985.0,1985.0,1986.0,1986.0,1986.0,1986.0,1987.0,1987.0,1987.0,1987.0,1988.0,1988.0,1988.0,1988.0,1989.0,1989.0,1989.0,1989.0,1990.0,1990.0,1990.0,1990.0,1991.0,1991.0,1991.0,1991.0,1992.0,1992.0,1992.0,1992.0,1993.0,1993.0,1993.0,1993.0,1994.0,1994.0,1994.0,1994.0,1995.0,1995.0,1995.0,1995.0,1996.0,1996.0,1996.0,1996.0,1997.0,1997.0,1997.0,1997.0,1998.0,1998.0,1998.0,1998.0,1999.0,1999.0,1999.0,1999.0,2000.0,2000.0,2000.0,2000.0,2001.0,2001.0,2001.0,2001.0,2002.0,2002.0,2002.0,2002.0,2003.0,2003.0,2003.0,2003.0,2004.0,2004.0,2004.0,2004.0,2005.0,2005.0,2005.0,2005.0,2006.0,2006.0,2006.0,2006.0,2007.0,2007.0,2007.0,2007.0,2008.0,2008.0,2008.0,2008.0,2009.0,2009.0,2009.0,2009.0,2010.0,2010.0,2010.0,2010.0,2011.0,2011.0,2011.0,2011.0,2012.0,2012.0,2012.0,2012.0,2013.0,2013.0,2013.0,2013.0,2014.0,2014.0,2014.0,2014.0,2015.0,2015.0,2015.0,2015.0,2016.0,2016.0,2016.0,2016.0,2017.0,2017.0,2017.0,2017.0,2018.0,2018.0,2018.0,2018.0,2019.0,2019.0,2019.0,2019.0,2020.0,2020.0,2020.0,2020.0,2021.0,2021.0,2021.0,2021.0,2022.0,2022.0,2022.0,2022.0,2023.0,2023.0
,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0
ALA,11.51,9.71,11.5,11.97,9.52,12.29,10.07,8.4,7.36,13.27,17.45,10.33,10.34,8.99,7.52,11.36,8.58,15.09,12.75,11.69,5.45,9.28,11.16,11.65,7.59,11.54,9.94,9.54,8.82,7.49,7.4,7.78,9.25,10.18,13.33,8.92,13.88,12.15,9.2,8.65,10.01,15.6,11.16,7.72,13.63,8.05,6.38,9.23,12.81,8.69,9.63,6.97,10.51,7.88,9.32,12.71,7.56,8.11,9.25,7.2,7.07,8.59,5.82,8.22,10.92,7.3,5.81,10.11,7.39,8.15,8.98,12.27,9.58,11.28,10.6,14.43,14.39,16.69,8.37,9.32,9.85,10.17,13.92,11.11,10.81,11.7,11.27,11.74,12.76,9.84,7.02,9.53,7.43,5.14,10.93,8.54,9.63,8.66,10.28,10.65,12.2,7.15,11.23,8.65,11.52,7.92,13.15,9.78,10.05,13.02,9.4,8.09,13.68,9.95,9.38,11.05,7.47,6.43,8.15,12.77,12.26,6.81,9.65,12.82,9.75,8.4,7.96,9.04,13.04,8.89,8.24,13.53,13.14,10.01,12.02,10.73,8.68,10.18,6.14,9.4,14.21,7.97,12.11,8.98,7.85,7.47,6.96,6.67,8.92,9.95,11.99,7.31,9.8,7.88,9.12,7.89,10.36,8.2,11.7,8.38,15.69,10.34,9.87,5.23,8.13,10.92,7.91,9.62,6.86,9.6,11.72,8.12,12.55,7.94,7.45,8.38,8.99,8.57,8.67,11.3,11.38,7.75,11.58,10.75,6.41,9.66,6.44,6.57,8.44,9.64,8.28,3.8,9.93,10.3,8.01,7.1,7.55,8.71,8.94,8.76,10.28,6.1,7.3,8.71,8.39,3.81,9.67,13.07,8.82,6.58,6.08,10.77,10.12,5.5,10.6,7.31,9.17,5.76,9.29,9.06,11.08,7.61,9.8,7.9,8.28,7.2,10.52,7.67,10.59,10.7,9.43,6.34,7.7,8.97,6.27,9.98,6.91,9.16,7.27,8.21,8.1,6.08,10.13,6.28,12.01,8.89,8.62,7.16,8.09,9.44
CAR,8.62,7.49,11.5,8.49,11.65,7.52,9.86,8.13,16.22,7.85,10.31,6.93,7.51,7.12,9.51,6.63,11.02,9.96,8.74,7.38,4.86,9.37,6.14,8.95,5.5,8.92,9.31,9.65,8.57,8.52,9.2,7.55,5.55,7.57,8.55,9.65,7.83,7.56,8.59,10.8,9.37,9.12,6.76,8.09,10.29,10.41,8.48,9.43,8.78,10.39,10.05,10.39,8.97,7.83,10.73,10.53,10.14,10.99,10.17,10.75,11.09,10.77,10.65,11.86,9.98,14.88,8.68,8.0,13.61,9.48,10.17,9.6,7.36,11.36,9.96,7.86,13.13,11.21,10.78,11.61,15.24,7.76,10.19,16.51,13.52,11.37,11.28,9.78,8.9,10.01,10.27,10.38,9.94,9.68,11.86,11.26,8.03,8.78,11.28,16.64,12.02,12.27,10.98,7.66,7.62,7.32,13.77,12.48,11.58,12.73,11.88,11.97,15.51,14.38,9.91,9.8,7.5,17.64,10.8,11.57,13.87,9.44,13.76,13.0,10.18,10.14,9.87,13.11,16.63,12.58,9.29,13.02,10.51,12.23,12.9,13.18,12.07,12.88,10.9,11.97,11.8,12.54,9.29,13.76,13.27,10.27,13.16,13.13,10.48,12.55,11.65,14.83,13.77,12.25,13.14,11.93,15.02,9.71,12.03,12.99,12.29,15.87,11.69,14.72,8.35,12.25,11.67,15.73,15.52,14.16,11.94,12.2,10.36,12.48,8.77,13.26,11.74,14.59,10.83,13.68,9.26,10.85,11.24,12.94,10.89,11.46,11.36,12.94,12.53,11.16,15.41,12.97,11.53,9.41,9.66,14.18,12.9,13.76,11.83,13.55,13.77,10.37,12.59,13.36,12.63,10.59,11.61,13.79,7.47,13.33,13.05,13.29,10.63,10.63,9.3,14.64,13.16,12.3,11.54,13.82,8.41,11.08,12.41,9.67,12.83,11.22,11.81,11.74,11.71,10.72,12.74,9.76,9.88,11.78,12.7,12.32,7.76,14.41,10.98,11.68,9.52,13.33,13.61,11.23,12.89,14.39,9.57,15.47,8.98,12.28
CEA,7.18,8.62,5.7,10.76,5.43,8.12,6.54,8.81,8.53,8.88,10.69,9.28,10.77,11.17,8.42,5.91,9.37,3.36,12.43,10.54,9.42,5.32,8.0,11.74,10.07,11.06,7.81,13.45,9.8,10.41,8.14,10.49,19.16,12.08,10.66,6.1,10.0,8.46,9.77,6.14,8.82,11.23,9.65,3.87,9.68,7.23,12.22,10.49,9.9,11.86,6.98,10.5,7.87,12.57,11.76,8.46,6.9,13.67,11.17,7.17,9.29,12.09,11.93,10.24,10.82,8.97,9.82,8.63,9.69,7.55,8.19,6.06,15.35,9.17,10.02,7.71,10.37,7.93,9.96,11.92,11.14,12.41,10.36,14.39,9.57,12.65,10.16,7.18,6.24,14.04,8.15,9.16,7.5,11.69,9.14,9.43,14.48,10.12,12.42,7.36,9.75,9.28,13.24,9.85,10.08,9.86,10.94,13.03,12.61,10.07,14.86,15.91,9.79,9.81,7.42,17.69,10.45,10.89,14.46,18.1,8.86,13.42,12.42,13.81,11.7,8.43,13.74,12.28,11.78,12.11,10.37,16.11,11.18,9.66,10.38,12.25,7.31,7.69,6.28,15.21,13.47,11.17,9.07,14.69,11.18,13.45,7.82,7.84,8.94,7.19,10.85,8.76,3.76,9.83,8.74,14.46,10.77,9.37,13.04,9.4,5.62,5.99,7.19,8.28,5.41,7.03,7.97,7.56,6.31,4.05,4.84,12.5,8.32,4.94,7.3,6.77,3.97,7.57,2.84,10.2,7.38,7.2,6.25,9.15,6.27,8.09,2.21,2.47,3.94,3.71,2.24,4.95,5.09,3.72,3.47,4.87,6.21,3.42,3.98,7.56,5.44,4.94,4.44,4.69,2.57,3.01,3.66,4.83,4.56,4.53,3.37,6.07,2.73,6.99,6.71,8.94,6.49,3.45,3.69,5.49,3.6,4.29,4.97,6.49,5.22,6.92,5.96,6.5,3.7,5.31,6.59,10.45,5.02,3.95,1.95,6.94,3.48,7.44,4.68,5.8,4.38,6.03,2.39,5.23,3.03,4.3,3.7,5.73,3.65,3.71
CWP,9.0,11.09,4.82,17.41,7.99,8.78,9.19,12.95,5.5,9.4,6.36,8.54,6.2,10.25,9.24,9.48,16.94,8.55,6.45,8.22,12.16,11.58,8.6,9.57,17.2,8.85,6.89,11.38,9.91,12.81,12.63,9.55,11.8,8.0,10.04,7.66,9.31,10.64,10.71,14.05,16.16,14.56,4.98,12.56,15.96,10.04,8.64,8.24,10.06,7.34,16.89,10.61,10.73,12.3,18.64,6.15,7.68,16.03,17.87,13.21,8.68,9.86,11.62,5.06,2.84,9.14,7.81,11.26,12.01,8.99,9.08,7.63,7.29,5.75,9.88,7.49,11.75,10.08,11.31,7.02,7.73,6.66,9.79,9.09,13.75,13.05,6.74,12.03,12.02,8.47,11.46,13.64,6.48,11.29,10.19,15.01,4.36,9.04,9.95,11.47,9.11,10.09,9.24,10.07,7.62,9.79,11.68,3.83,8.81,11.7,8.98,9.78,8.25,8.94,9.59,7.44,11.37,7.39,11.3,9.96,9.13,11.08,10.62,6.18,8.69,5.45,6.14,10.54,8.94,9.91,11.27,3.44,9.16,6.09,7.18,10.25,10.68,9.26,12.73,10.64,14.7,9.23,10.8,8.64,10.08,6.57,7.91,16.21,11.88,4.9,8.58,10.63,18.78,9.06,10.62,13.46,9.55,5.82,12.92,8.29,3.48,6.85,9.32,11.23,9.66,9.71,10.83,6.77,7.7,8.38,7.31,10.47,8.74,5.76,8.05,7.52,4.86,9.09,8.42,6.29,10.92,9.99,9.0,12.98,7.46,6.4,8.0,9.41,10.49,4.9,11.16,7.56,8.84,10.37,5.84,10.89,5.1,12.08,11.14,10.8,8.13,8.02,6.95,7.83,7.0,10.09,7.9,7.72,5.78,6.39,7.12,9.5,5.58,6.19,6.91,10.34,6.29,3.89,7.66,6.8,7.96,7.62,6.13,12.91,9.78,10.08,6.57,11.07,4.52,6.67,6.34,3.83,9.11,6.23,7.13,6.93,7.78,3.87,8.41,9.57,8.63,7.23,9.87,9.87,6.82,9.11,8.7,6.91,9.08,6.77
MID,7.69,12.0,8.3,15.36,8.88,10.11,6.76,7.85,9.77,10.64,8.11,6.22,10.86,16.73,14.28,10.38,10.98,9.33,12.94,13.05,9.53,12.43,8.97,17.18,12.92,13.71,10.14,13.03,10.46,14.22,16.3,13.7,15.64,7.28,14.74,9.62,5.73,9.11,11.47,9.31,12.52,11.42,7.35,6.6,8.53,5.87,6.81,6.37,8.57,14.26,10.91,6.25,7.05,9.19,13.83,6.44,9.43,8.53,10.5,10.69,7.91,10.5,12.64,6.1,11.02,7.16,10.91,8.28,11.6,6.64,9.76,5.57,7.67,8.64,7.54,8.27,7.91,5.62,10.95,7.58,7.88,9.11,7.57,9.62,10.46,8.74,6.54,8.94,7.1,9.6,6.65,12.35,10.23,12.32,9.49,12.15,16.19,11.88,10.15,12.28,9.9,9.69,8.06,7.75,6.71,7.1,8.49,7.2,13.58,10.14,9.07,15.83,12.03,6.21,6.76,12.59,12.09,12.06,14.58,13.96,10.48,14.6,10.03,17.2,7.78,6.46,11.69,14.41,11.97,8.74,12.3,14.68,8.79,6.3,8.17,13.01,7.17,8.92,6.07,13.4,14.07,13.11,9.26,14.88,15.37,9.48,7.44,10.03,7.22,12.23,6.94,9.32,13.41,12.29,10.7,10.69,9.57,11.31,13.83,14.81,11.15,10.97,7.84,15.8,15.49,12.88,11.3,9.6,13.6,11.9,9.42,12.55,14.15,11.9,11.23,13.71,10.01,9.95,10.56,13.43,13.55,11.71,10.02,13.65,16.12,15.24,9.25,15.98,12.95,11.78,12.07,11.44,13.87,11.81,13.32,11.61,12.69,10.17,10.84,15.62,13.2,12.94,10.12,18.62,13.73,10.7,9.01,14.21,13.39,11.67,7.99,9.11,12.22,8.72,12.07,13.17,7.53,6.0,10.87,15.24,15.2,7.78,9.58,13.49,15.52,13.34,10.11,11.42,13.98,8.92,11.08,10.03,13.26,8.64,8.08,12.57,12.71,9.83,9.9,12.21,7.18,8.13,8.82,10.51,12.49,14.83,12.02,11.83,12.8,10.97
NEA,7.01,8.52,7.36,5.88,10.29,10.77,8.67,8.83,10.22,9.64,8.5,7.92,11.9,8.04,7.98,8.12,12.17,11.75,10.16,7.39,10.21,7.12,9.62,9.93,7.76,7.75,4.73,6.49,7.87,6.61,7.99,9.92,9.97,9.57,10.35,6.28,6.2,7.11,8.12,7.1,6.71,9.92,11.18,11.73,10.55,10.5,10.07,13.29,12.81,7.11,9.62,9.7,13.43,12.24,8.72,12.27,4.85,13.06,11.53,10.33,6.6,11.02,11.83,10.3,10.05,10.39,8.62,8.16,9.93,12.23,9.47,10.58,15.41,11.74,10.62,9.66,12.33,12.64,8.8,13.21,11.05,11.28,12.46,15.61,12.87,10.56,11.74,6.65,7.13,8.52,10.28,9.85,7.93,11.71,11.55,12.3,11.86,12.41,10.39,8.36,15.65,6.41,14.21,8.84,10.4,13.29,9.64,10.61,10.9,11.6,12.74,14.89,6.79,8.53,12.82,11.54,9.63,8.36,10.59,14.42,8.49,7.81,12.6,8.32,7.33,11.27,8.4,8.37,5.16,6.61,9.3,13.55,10.23,7.26,12.82,12.29,5.31,5.68,9.44,12.28,9.12,9.99,8.15,12.1,11.71,11.57,8.74,8.44,9.71,6.9,11.6,12.1,7.06,12.45,8.9,9.82,8.3,7.97,7.66,8.11,10.38,8.74,12.74,6.18,5.82,12.32,9.11,13.37,13.26,6.97,9.85,10.91,13.82,8.58,6.37,10.13,8.15,10.0,6.31,10.84,10.73,9.55,7.26,8.1,9.6,10.96,5.61,10.96,5.83,9.77,7.22,7.52,10.75,9.2,6.9,7.01,14.36,7.22,5.2,11.54,11.49,7.83,8.84,7.9,5.43,7.55,4.42,10.73,12.52,8.93,8.5,8.81,6.37,5.94,9.14,9.09,6.73,7.99,7.36,9.23,6.21,8.9,8.5,6.26,7.95,9.58,6.86,8.2,8.57,7.49,7.01,12.29,13.37,10.39,7.18,9.7,5.83,10.77,7.1,10.22,6.07,10.19,6.07,6.12,7.19,6.58,7.15,9.05,5.64,5.69
NEF,7.35,8.65,8.51,10.72,9.54,8.31,7.16,8.56,10.58,9.85,9.09,7.09,10.91,12.12,11.79,9.65,10.96,7.28,10.09,11.73,6.2,11.16,8.86,13.08,9.25,8.78,8.34,10.62,11.65,8.57,12.18,6.62,12.07,6.91,10.4,8.6,8.52,8.65,8.23,8.84,9.28,10.51,10.51,7.05,12.63,5.4,10.21,10.31,8.2,13.46,7.94,11.03,7.76,12.07,13.74,9.3,7.99,12.69,12.74,8.17,9.07,10.61,10.38,9.26,11.61,9.6,9.41,9.08,10.46,7.87,10.43,9.45,9.25,10.92,12.93,6.78,10.01,11.45,8.77,12.06,10.85,8.32,9.27,10.32,11.31,13.04,11.04,9.74,8.48,11.0,8.8,12.53,10.85,10.96,9.45,11.19,10.97,10.96,10.58,11.19,11.82,10.86,13.06,9.12,8.34,10.52,10.15,8.81,8.3,9.0,10.31,12.74,13.07,7.39,7.19,13.87,11.79,13.68,8.96,12.85,12.74,11.0,11.1,12.11,10.79,11.41,9.94,11.72,10.15,8.3,8.08,11.65,9.39,9.85,9.79,10.51,8.71,7.04,11.64,13.05,11.56,10.14,8.81,10.4,14.81,8.44,9.15,10.44,6.52,8.09,8.28,10.95,10.95,11.0,8.61,8.68,12.78,10.89,10.7,10.93,10.26,9.48,11.18,11.13,9.23,11.45,11.33,8.79,13.68,7.43,9.23,13.85,11.67,11.12,10.06,13.48,10.83,9.95,10.37,11.68,12.14,11.59,9.12,10.24,12.86,14.16,9.3,13.32,10.77,11.43,11.5,12.51,8.12,12.27,10.66,10.86,12.67,9.13,9.82,15.56,12.2,9.28,9.38,12.61,11.16,11.53,9.87,12.64,12.1,12.49,9.92,12.63,12.03,7.54,11.66,11.68,9.04,10.41,10.44,13.49,12.62,8.66,12.97,13.32,10.47,13.35,11.38,14.12,13.76,10.61,10.83,11.83,12.78,10.42,11.64,9.67,9.64,12.09,9.12,11.33,7.44,12.57,10.59,9.0,13.99,11.12,11.23,12.09,10.5,9.92
NPL,11.68,12.95,10.41,15.35,10.87,5.96,9.35,7.67,11.66,8.27,6.95,5.62,9.32,9.59,8.64,7.33,8.19,6.46,9.08,5.71,3.9,11.65,5.99,7.36,7.59,7.21,10.14,12.47,9.57,9.2,7.84,6.21,4.71,7.24,9.21,10.12,10.18,9.68,11.93,9.82,10.28,8.67,10.21,11.48,11.98,11.17,10.95,12.55,7.39,10.64,13.91,9.81,5.38,8.0,11.37,7.77,8.59,10.71,11.63,7.8,9.59,9.57,13.12,15.74,9.5,11.15,8.78,9.93,8.59,8.08,8.76,11.46,10.92,8.56,8.42,6.72,11.13,10.47,9.92,10.5,12.59,8.73,7.44,10.62,11.21,13.33,10.1,8.99,6.62,8.22,10.24,11.24,10.29,11.08,13.61,12.4,12.64,12.26,11.14,11.49,11.22,12.47,10.82,8.63,10.95,9.09,9.93,10.67,13.18,14.2,14.12,11.53,18.77,10.08,7.44,10.81,12.59,15.81,8.97,12.77,16.31,11.03,10.98,11.41,10.18,9.83,7.52,11.08,13.28,9.58,12.42,11.69,8.89,13.16,9.65,12.4,9.32,7.14,9.3,6.75,10.67,9.85,10.63,11.05,10.92,10.33,8.08,11.11,8.36,7.34,9.64,8.29,14.72,14.32,9.72,10.57,13.38,11.39,9.69,12.39,10.25,15.37,10.62,9.76,9.53,14.18,12.41,10.65,13.56,13.14,10.29,9.81,11.06,12.67,8.61,12.53,11.12,16.55,12.85,10.63,9.85,12.45,8.7,12.75,17.22,13.79,10.03,10.92,9.37,11.67,11.29,13.26,10.52,10.61,9.9,12.0,8.37,16.46,11.1,13.63,14.34,10.85,12.65,12.99,14.97,16.63,10.56,11.95,8.2,10.31,8.08,9.33,13.79,11.14,8.84,11.11,12.7,12.72,8.71,10.36,7.23,10.85,11.23,10.64,13.75,13.24,11.16,15.08,14.19,11.15,12.45,6.63,10.01,9.85,12.02,10.88,8.34,13.5,16.92,12.83,11.02,12.88,12.33,13.29,12.13,16.19,9.9,17.57,9.17,10.34
